,Instrument,Company Common Name,Date,Price Close,Close Price
0,BIDU.O,Baidu Inc,2019-01-02T00:00:00Z,162.25,162.25
1,BIDU.O,,2019-01-03T00:00:00Z,154.71,154.71
2,BIDU.O,,2019-01-04T00:00:00Z,160.95,160.95
3,BIDU.O,,2019-01-07T00:00:00Z,162.6,162.6
4,BIDU.O,,2019-01-08T00:00:00Z,163.4,163.4
5,BIDU.O,,2019-01-09T00:00:00Z,166.64,166.64
6,BIDU.O,,2019-01-10T00:00:00Z,168.35,168.35
7,BIDU.O,,2019-01-11T00:00:00Z,166.11,166.11
8,BIDU.O,,2019-01-14T00:00:00Z,163.03,163.03
9,BIDU.O,,2019-01-15T00:00:00Z,167.93,167.93
10,BIDU.O,,2019-01-16T00:00:00Z,169.75,169.75
11,BIDU.O,,2019-01-17T00:00:00Z,168.11,168.11
12,BIDU.O,,2019-01-18T00:00:00Z,171.36,171.36
13,BIDU.O,,2019-01-22T00:00:00Z,160.39,160.39
14,BIDU.O,,2019-01-23T00:00:00Z,163.26,163.26
15,BIDU.O,,2019-01-24T00:00:00Z,162.7,162.7
16,BIDU.O,,2019-01-25T00:00:00Z,167.1,167.1
17,BIDU.O,,2019-01-28T00:00:00Z,167.5,167.5
18,BIDU.O,,2019-01-29T00:00:00Z,165.27,165.27
19,BIDU.O,,2019-01-30T00:00:00Z,169.34,169.34
20,BIDU.O,,2019-01-31T00:00:00Z,172.63,172.63
21,BIDU.O,,2019-02-01T00:00:00Z,171.27,171.27
22,BIDU.O,,2019-02-04T00:00:00Z,173.94,173.94
23,BIDU.O,,2019-02-05T00:00:00Z,176.23,176.23
24,BIDU.O,,2019-02-06T00:00:00Z,173.85,173.85
25,BIDU.O,,2019-02-07T00:00:00Z,171.58,171.58
26,BIDU.O,,2019-02-08T00:00:00Z,169.9,169.9
27,BIDU.O,,2019-02-11T00:00:00Z,168.06,168.06
28,BIDU.O,,2019-02-12T00:00:00Z,170.25,170.25
29,BIDU.O,,2019-02-13T00:00:00Z,173.82,173.82
30,BIDU.O,,2019-02-14T00:00:00Z,174.08,174.08
31,BIDU.O,,2019-02-15T00:00:00Z,170.06,170.06
32,BIDU.O,,2019-02-19T00:00:00Z,172.45,172.45
33,BIDU.O,,2019-02-20T00:00:00Z,171.18,171.18
34,BIDU.O,,2019-02-21T00:00:00Z,171.81,171.81
35,BIDU.O,,2019-02-22T00:00:00Z,167.17,167.17
36,BIDU.O,,2019-02-25T00:00:00Z,165.0,165.0
37,BIDU.O,,2019-02-26T00:00:00Z,161.98,161.98
38,BIDU.O,,2019-02-27T00:00:00Z,162.17,162.17
39,BIDU.O,,2019-02-28T00:00:00Z,162.54,162.54
40,BIDU.O,,2019-03-01T00:00:00Z,162.09,162.09
41,BIDU.O,,2019-03-04T00:00:00Z,160.92,160.92
42,BIDU.O,,2019-03-05T00:00:00Z,167.74,167.74
43,BIDU.O,,2019-03-06T00:00:00Z,170.24,170.24
44,BIDU.O,,2019-03-07T00:00:00Z,165.72,165.72
45,BIDU.O,,2019-03-08T00:00:00Z,163.65,163.65
46,BIDU.O,,2019-03-11T00:00:00Z,166.96,166.96
47,BIDU.O,,2019-03-12T00:00:00Z,166.99,166.99
48,BIDU.O,,2019-03-13T00:00:00Z,168.17,168.17
49,BIDU.O,,2019-03-14T00:00:00Z,167.74,167.74
50,BIDU.O,,2019-03-15T00:00:00Z,170.48,170.48
51,BIDU.O,,2019-03-18T00:00:00Z,171.17,171.17
52,BIDU.O,,2019-03-19T00:00:00Z,170.73,170.73
53,BIDU.O,,2019-03-20T00:00:00Z,170.17,170.17
54,BIDU.O,,2019-03-21T00:00:00Z,171.77,171.77
55,BIDU.O,,2019-03-22T00:00:00Z,166.73,166.73
56,BIDU.O,,2019-03-25T00:00:00Z,166.88,166.88
57,BIDU.O,,2019-03-26T00:00:00Z,167.2,167.2
58,BIDU.O,,2019-03-27T00:00:00Z,164.29,164.29
59,BIDU.O,,2019-03-28T00:00:00Z,164.11,164.11
60,BIDU.O,,2019-03-29T00:00:00Z,164.85,164.85
61,BIDU.O,,2019-04-01T00:00:00Z,170.4,170.4
62,BIDU.O,,2019-04-02T00:00:00Z,170.98,170.98
63,BIDU.O,,2019-04-03T00:00:00Z,174.91,174.91
64,BIDU.O,,2019-04-04T00:00:00Z,179.13,179.13
65,BIDU.O,,2019-04-05T00:00:00Z,181.55,181.55
66,BIDU.O,,2019-04-08T00:00:00Z,184.77,184.77
67,BIDU.O,,2019-04-09T00:00:00Z,181.0,181.0
68,BIDU.O,,2019-04-10T00:00:00Z,177.04,177.04
69,BIDU.O,,2019-04-11T00:00:00Z,171.2,171.2
70,BIDU.O,,2019-04-12T00:00:00Z,173.09,173.09
71,BIDU.O,,2019-04-15T00:00:00Z,168.67,168.67
72,BIDU.O,,2019-04-16T00:00:00Z,170.28,170.28
