,Instrument,ISIN
0,UBSG.S,CH0244767585
1,PLUSP.L,IL0011284465
2,MANTA.HE,FI4000552526
3,VZN.S,CH0028200837
4,VZN.S,CH0528751586
5,SQN.S,CH0010675863
6,SJP.L,GB0007669376
7,AMUN.PA,FR0004125920
8,LUNDb.ST,SE0000108847
9,CVC.AS,JE00BRX98089
10,MDBI.MI,IT0000062957
11,ABDN.L,GB00BF8Q6K64
12,SAVE.ST,SE0015192067
13,MNG.L,GB00BKFB1C65
14,SDR.L,GB0002405495
15,SDR.L,GB00BP9LHF23
16,ENX.PA,NL0006294274
17,PST.MI,IT0003796171
18,IGG.L,GB00B06QFB75
19,SOF.BR,BE0003717312
20,INVEb.ST,SE0000107419
21,INVEb.ST,SE0015811963
22,BMED.MI,IT0004776628
23,AZMT.MI,IT0003261697
24,PGHN.S,CH0024608827
25,MWDP.PA,FR0000121204
26,LSEG.L,GB00B0SWJX34
27,BPTB.L,GB00BND88V85
28,EQTAB.ST,SE0012853455
29,EXOR.AS,NL0012059018
30,EXOR.AS,NL0012059018
31,TCAPI.L,GB00B1H0DZ51
32,TCAPI.L,JE00BMDZN391
33,ALLFG.AS,GB00BNTJ3546
34,DB1Gn.DE,DE0005810055
35,BAER.S,CH0102484968
36,III.L,GB00B1YW4409
37,EURA.PA,FR0000121121
38,ICGIN.L,GB00BYT1DJ19
39,GBLB.BR,BE0003797140
40,EMG.L,GB00B83VD954
41,EMG.L,JE00BJ1DLW90
42,INDUc.ST,SE0000107203
43,KINVb.ST,SE0008373906
44,KINVb.ST,SE0013256682
45,KINVb.ST,SE0014684528
46,KINVb.ST,SE0015810247
47,KINVb.ST,SE0022060521
