,Instrument,Ticker Symbol
0,UBSG.S,UBSG
1,PLUSP.L,PLUS
2,MANTA.HE,MANTA
3,VZN.S,VZN
4,SQN.S,SQN
5,SJP.L,STJ
6,AMUN.PA,AMUN
7,LUNDb.ST,LUND B
8,CVC.AS,CVC
9,MDBI.MI,MB
10,ABDN.L,ABDN
11,SAVE.ST,SAVE
12,MNG.L,MNG
13,SDR.L,SDR
14,ENX.PA,ENX
15,PST.MI,PST
16,IGG.L,IGG
17,SOF.BR,SOF
18,INVEb.ST,INVE B
19,BMED.MI,BMED
20,AZMT.MI,AZM
21,PGHN.S,PGHN
22,MWDP.PA,MF
23,LSEG.L,LSEG
24,BPTB.L,BPT
25,EQTAB.ST,EQT
26,EXOR.AS,EXO
27,TCAPI.L,TCAP
28,ALLFG.AS,ALLFG
29,DB1Gn.DE,DB1
30,BAER.S,BAER
31,III.L,III
32,EURA.PA,RF
33,ICGIN.L,ICG
34,GBLB.BR,GBLB
35,EMG.L,EMG
36,INDUc.ST,INDU C
37,KINVb.ST,KINV B
