Date,Instrument,Price1
2007-05-10,.OVX,27.09
2007-05-11,.OVX,26.41
2007-05-14,.OVX,27.23
2007-05-15,.OVX,27.89
2007-05-16,.OVX,27.07
2007-05-17,.OVX,24.86
2007-05-18,.OVX,24.71
2007-05-21,.OVX,24.67
2007-05-22,.OVX,26.03
2007-05-23,.OVX,26.35
2007-05-24,.OVX,26.63
2007-05-25,.OVX,25.81
2007-05-25,.OVX,25.81
2007-05-29,.OVX,27.83
2007-05-30,.OVX,28.61
2007-05-31,.OVX,28.44
2007-06-01,.OVX,27.39
2007-06-04,.OVX,27.36
2007-06-05,.OVX,26.7
2007-06-06,.OVX,25.94
2007-06-07,.OVX,26.11
2007-06-08,.OVX,26.51
2007-06-11,.OVX,25.99
2007-06-12,.OVX,25.81
2007-06-13,.OVX,26.07
2007-06-14,.OVX,26.35
2007-06-15,.OVX,26.41
2007-06-18,.OVX,27.15
2007-06-19,.OVX,26.72
2007-06-20,.OVX,27.14
2007-06-21,.OVX,28.0
2007-06-22,.OVX,28.16
2007-06-25,.OVX,28.01
2007-06-26,.OVX,27.79
2007-06-27,.OVX,28.06
2007-06-28,.OVX,27.95
2007-06-29,.OVX,27.44
2007-07-02,.OVX,27.52
2007-07-03,.OVX,27.45
2007-07-03,.OVX,27.45
2007-07-05,.OVX,27.33
2007-07-06,.OVX,27.4
2007-07-09,.OVX,28.25
2007-07-10,.OVX,27.37
2007-07-11,.OVX,27.69
2007-07-12,.OVX,27.35
2007-07-13,.OVX,27.06
2007-07-16,.OVX,28.0
2007-07-17,.OVX,27.46
2007-07-18,.OVX,27.91
2007-07-19,.OVX,27.4
2007-07-20,.OVX,26.69
2007-07-23,.OVX,27.09
2007-07-24,.OVX,27.42
2007-07-25,.OVX,26.84
2007-07-26,.OVX,27.79
2007-07-27,.OVX,27.25
2007-07-30,.OVX,30.16
2007-07-31,.OVX,30.69
2007-08-01,.OVX,29.73
2007-08-02,.OVX,29.68
2007-08-03,.OVX,29.32
2007-08-06,.OVX,32.49
2007-08-07,.OVX,29.48
2007-08-08,.OVX,27.07
2007-08-09,.OVX,29.73
2007-08-10,.OVX,30.87
2007-08-13,.OVX,30.82
2007-08-14,.OVX,30.23
2007-08-15,.OVX,31.14
2007-08-16,.OVX,37.02
2007-08-17,.OVX,35.46
2007-08-20,.OVX,34.16
2007-08-21,.OVX,34.33
2007-08-22,.OVX,31.93
2007-08-23,.OVX,29.85
2007-08-24,.OVX,28.67
2007-08-27,.OVX,28.98
2007-08-28,.OVX,28.81
2007-08-29,.OVX,28.88
2007-08-30,.OVX,28.99
