"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.000152,9e-06,17.835968,0,"Financial HousingStart",1.34093168687583
"gamma",-0.083463,0.022727,-3.672349,0.00024,"Financial HousingStart",0.162436754212504
"beta",0.9975,9.1e-05,10929.18471,0,"Financial HousingStart",0.00217816590836807
"m",6.849636,0.22397,30.58278,0,"Financial HousingStart",52856.988832
"theta",-0.01876,0.003526,-5.31988,0,"Financial HousingStart",52894.921739
"w2",1.001001,0.129416,7.734754,0,"Financial HousingStart",-26422.4944161794
"alpha1",0.036576,0.007412,4.934485,1e-06,"Financial IndProd",9.77156218043964
"gamma1",-10.414173,0.236142,-44.101234,0,"Financial IndProd",0.0432079655574304
"beta1",0.002065,0.192192,0.010744,0.991428,"Financial IndProd",0.00422209322134726
"m1",7.922795,0.160207,49.453582,0,"Financial IndProd",53020.50966
"theta1",-0.109456,0.01205,-9.083628,0,"Financial IndProd",53058.442566
"w21",1.001001,0.102617,9.75477,0,"Financial IndProd",-26504.254829803
"alpha2",0.000187,7e-06,24.911696,0,"Financial CoreInflation",0.0569361859918527
"gamma2",-0.056769,0.013885,-4.088432,4.3e-05,"Financial CoreInflation",0.174530759074078
"beta2",0.997569,0.000121,8243.772647,0,"Financial CoreInflation",9.93711575994094e-05
"m2",7.054795,0.171783,41.068021,0,"Financial CoreInflation",52869.791874
"theta2",0.001979,0.001107,1.787783,0.073811,"Financial CoreInflation",52907.72478
"w22",1.854597,0.199152,9.312493,0,"Financial CoreInflation",-26428.8959368766
"alpha3",0.000171,6e-06,27.462906,0,"Financial PPI",3.13365086982355
"gamma3",7.4e-05,9.9e-05,0.747205,0.45494,"Financial PPI",0.176004012948559
"beta3",0.998792,4.3e-05,23093.54367,0,"Financial PPI",0.00551535128268686
"m3",9.062615,0.052945,171.169269,0,"Financial PPI",52812.68518
"theta3",-0.06324,0.006719,-9.411878,0,"Financial PPI",52850.618087
"w23",4.215679,0.140196,30.069912,0,"Financial PPI",-26400.3425901172
"alpha4",0.000187,6e-06,28.929697,0,"Financial GDP",3.1926138041351
"gamma4",-0.039762,0.003384,-11.750884,0,"Financial GDP",0.205991351280431
