"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.000152,8e-06,17.982086,0,"Financial HousingStart",1.34062616804552
"gamma",-0.083464,0.080505,-1.036759,0.299848,"Financial HousingStart",0.162435887320105
"beta",0.9975,0.000159,6274.401952,0,"Financial HousingStart",0.00217765801171026
"m",6.849632,0.836367,8.189744,0,"Financial HousingStart",52856.988832
"theta",-0.018758,0.003956,-4.741704,2e-06,"Financial HousingStart",52894.921738
"w2",1.001001,0.412563,2.426296,0.015254,"Financial HousingStart",-26422.49441599
"alpha1",0.000176,7e-06,26.281533,0,"Financial IndProd",0.666195910146278
"gamma1",-0.04601,0.008425,-5.461016,0,"Financial IndProd",0.185084241051362
"beta1",0.997748,0.000108,9230.400563,0,"Financial IndProd",0.00123302364420945
"m1",7.176858,0.109827,65.346756,0,"Financial IndProd",52855.582136
"theta1",-0.059151,0.011039,-5.358194,0,"Financial IndProd",52893.515042
"w21",1.001027,0.136451,7.336185,0,"Financial IndProd",-26421.7910678185
"alpha2",0.000187,7e-06,24.907407,0,"Financial CoreInflation",0.0568986974632905
"gamma2",-0.056821,0.013774,-4.125322,3.7e-05,"Financial CoreInflation",0.174558473362342
"beta2",0.997569,0.000121,8265.345633,0,"Financial CoreInflation",9.93214976549774e-05
"m2",7.054001,0.170115,41.465966,0,"Financial CoreInflation",52869.791826
"theta2",0.001981,0.001108,1.787437,0.073867,"Financial CoreInflation",52907.724733
"w22",1.833726,0.197313,9.29347,0,"Financial CoreInflation",-26428.8959130704
"alpha3",0.000171,6e-06,30.367963,0,"Financial PPI",3.13359845157782
"gamma3",7.4e-05,0.000398,0.185373,0.852937,"Financial PPI",0.176010276640043
"beta3",0.998792,0.000146,6822.530835,0,"Financial PPI",0.00551545530341023
"m3",9.062574,0.048982,185.017052,0,"Financial PPI",52812.685189
"theta3",-0.063241,0.011382,-5.556134,0,"Financial PPI",52850.618095
"w23",4.215574,2.850727,1.478772,0.139201,"Financial PPI",-26400.3425943342
"alpha4",0.053168,0.005502,9.662953,0,"Financial GDP",44.4661615248367
"gamma4",-6.542804,0.281311,-23.258235,0,"Financial GDP",0.0734460308178439
"beta4",0.001441,0.085267,0.016895,0.98652,"Financial GDP",0.0326586306970438
"m4",8.56552,0.084533,101.327142,0,"Financial GDP",53038.782717
"theta4",-0.431435,0.117692,-3.665791,0.000247,"Financial GDP",53076.715623
"w24",1.228143,0.266033,4.6165,4e-06,"Financial GDP",-26513.3913583429
"alpha5",0.000253,6e-06,39.462429,0,"Financial UMich",8.45769132996222
"gamma5",0.000299,0.000358,0.834543,0.403975,"Financial UMich",0.456470701410177
"beta5",0.998598,3.2e-05,31080.229602,0,"Financial UMich",0.0386068829369863
"m5",7.589663,0.132154,57.430632,0,"Financial UMich",52716.750428
"theta5",0.43511,0.027964,15.559814,0,"Financial UMich",52754.683334
"w25",1.418863,0.067549,21.004992,0,"Financial UMich",-26352.3752139721
"alpha6",0.000163,5e-06,32.611807,0,"Financial StLouisStress",3.82625271784548
"gamma6",-0.021066,0.006528,-3.227051,0.001251,"Financial StLouisStress",0.196256434411894
"beta6",0.99812,0.000134,7450.420223,0,"Financial StLouisStress",0.00750926715563174
