Date,Housing Start,Industrial Production Index,Core Inflation,PPI,GDP
2005Q1,23.462,5.693,-0.04,4.137,7.889
2005Q2,-3.869,2.268,-3.097,6.648,4.957
2005Q3,9.833,-1.688,6.207,11.229,6.985
2005Q4,-5.836,3.702,20.643,14.88,5.641
2006Q1,10.371,3.853,18.157,-3.681,8.513
2006Q2,-41.419,2.387,62.524,6.63,4.615
2006Q3,-29.074,1.594,58.362,3.181,3.439
2006Q4,-27.653,0.981,1.139,-6.018,4.975
2007Q1,-24.942,4.131,-6.303,6.403,5.112
2007Q2,-2.799,4.71,-37.344,15.549,5.35
2007Q3,-37.721,0.366,-36.41,1.943,4.577
2007Q4,-33.045,1.324,23.049,8.962,4.21
2008Q1,-30.662,-0.992,10.462,15.311,-0.231
2008Q2,-18.592,-5.908,21.285,29.126,4.4
2008Q3,-47.001,-12.574,38.1,9.432,0.899
2008Q4,-65.058,-16.042,-32.225,-37.793,-7.581
2009Q1,-60.483,-20.725,-33.196,-17.773,-4.767
2009Q2,6.76,-10.626,-36.416,4.315,-1.37
2009Q3,46.975,6.903,-61.988,6.047,1.895
2009Q4,-13.328,6.391,-60.062,7.163,5.721
2010Q1,40.469,7.913,-68.247,12.205,3.131
2010Q2,-9.961,8.021,-63.724,4.846,5.97
2010Q3,-14.034,5.414,-45.296,0.871,4.38
2010Q4,-23.378,1.684,50.89,7.496,4.509
2011Q1,32.93,2.167,281.714,17.898,1.101
2011Q2,-5.383,1.603,78.817,16.903,5.479
2011Q3,35.22,4.536,163.601,0.262,2.338
2011Q4,38.33,4.182,102.595,-5.884,5.068
2012Q1,22.993,4.008,43.108,2.819,5.844
2012Q2,19.362,2.504,25.606,-0.724,3.488
2012Q3,24.096,-0.028,1.94,1.195,2.804
2012Q4,83.325,2.016,-8.242,-0.263,2.496
2013Q1,21.517,3.081,-11.89,2.663,5.665
2013Q2,-31.277,1.825,-32.735,0.722,1.948
2013Q3,6.771,1.631,-3.19,0.393,5.493
2013Q4,71.015,2.744,-2.463,-4.367,5.739
2014Q1,-26.579,2.75,-13.307,7.325,0.133
2014Q2,24.704,5.62,80.393,5.36,7.672
2014Q3,18.906,2.27,-17.105,-2.034,6.685
2014Q4,7.444,2.362,-3.006,-12.324,2.445
2015Q1,-24.851,-4.386,-1.557,-16.613,3.425
2015Q2,97.359,-5.446,19.89,3.17,4.875
2015Q3,3.027,0.248,24.826,-2.87,2.693
2015Q4,-13.436,-5.308,41.81,-12.074,0.73
2016Q1,6.305,-2.672,21.509,-7.469,1.985
2016Q2,10.419,-1.425,7.393,7.607,4.072
2016Q3,-4.035,1.059,13.71,3.719,3.924
2016Q4,28.776,-0.181,-14.539,0.0,4.231
2017Q1,-5.704,0.26,7.945,9.288,4.056
2017Q2,-10.413,5.8,-50.67,3.961,3.33
2017Q3,-0.674,-1.377,-11.713,1.877,5.329
2017Q4,19.436,5.811,6.264,3.48,7.183
2018Q1,21.757,2.239,16.81,6.56,5.947
2018Q2,-6.902,4.732,69.624,7.725,5.059
2018Q3,-8.009,3.351,-8.795,2.391,4.301
2018Q4,-24.053,0.604,-3.527,-2.206,2.311
2019Q1,4.773,-3.749,-12.433,-5.666,3.756
2019Q2,34.201,-2.292,2.175,3.38,5.537
2019Q3,12.983,0.016,36.846,-3.785,6.102
2019Q4,34.251,-2.026,31.202,-1.132,4.039
2020Q1,17.088,-6.464,-4.162,-4.934,-3.696
2020Q2,-70.455,-41.978,-67.937,-15.207,-29.132
2020Q3,238.158,42.834,24.106,12.97,39.99
2020Q4,30.784,6.949,-63.265,8.859,7.278
2021Q1,2.578,1.145,-43.527,25.754,11.092
2021Q2,0.339,6.516,686.426,28.895,13.177
2021Q3,2.904,2.633,-3.927,18.585,9.809
2021Q4,21.512,5.06,210.789,14.508,15.082
2022Q1,11.925,3.908,207.593,20.141,7.268
2022Q2,-17.851,3.925,92.621,35.356,9.698
2022Q3,-35.089,1.384,98.763,-4.369,7.425
2022Q4,-19.558,-1.766,35.197,-11.16,7.226
2023Q1,-2.849,-0.019,2.387,-5.069,6.592
2023Q2,23.255,0.29,-28.645,-5.808,4.331
2023Q3,-18.001,1.158,-42.544,3.183,7.7
2023Q4,26.952,-1.771,-31.403,-6.351,4.793
2024Q1,-13.6,-1.764,-16.612,1.813,4.705
2024Q2,-18.932,2.45,-15.732,3.663,5.601
2024Q3,-1.481,-0.589,-18.205,-1.419,5.03
2024Q4,15.588,-1.16,-21.387,-2.972,4.837
2025Q1,2.523,5.327,-35.09,8.668,3.459
