"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"alpha",0.000152,8e-06,17.982086,0,"Financial HousingStart"
"gamma",-0.083464,0.080505,-1.036759,0.299848,"Financial HousingStart"
"beta",0.9975,0.000159,6274.401952,0,"Financial HousingStart"
"m",6.849632,0.836367,8.189744,0,"Financial HousingStart"
"theta",-0.018758,0.003956,-4.741704,2e-06,"Financial HousingStart"
"w2",1.001001,0.412563,2.426296,0.015254,"Financial HousingStart"
"alpha1",0.000176,7e-06,26.281533,0,"Financial IndProd"
"gamma1",-0.04601,0.008425,-5.461016,0,"Financial IndProd"
"beta1",0.997748,0.000108,9230.400563,0,"Financial IndProd"
"m1",7.176858,0.109827,65.346756,0,"Financial IndProd"
"theta1",-0.059151,0.011039,-5.358194,0,"Financial IndProd"
"w21",1.001027,0.136451,7.336185,0,"Financial IndProd"
"alpha2",0.000187,7e-06,24.907407,0,"Financial CoreInflation"
"gamma2",-0.056821,0.013774,-4.125322,3.7e-05,"Financial CoreInflation"
"beta2",0.997569,0.000121,8265.345633,0,"Financial CoreInflation"
"m2",7.054001,0.170115,41.465966,0,"Financial CoreInflation"
"theta2",0.001981,0.001108,1.787437,0.073867,"Financial CoreInflation"
"w22",1.833726,0.197313,9.29347,0,"Financial CoreInflation"
"alpha3",0.000171,6e-06,30.367963,0,"Financial PPI"
"gamma3",7.4e-05,0.000398,0.185373,0.852937,"Financial PPI"
"beta3",0.998792,0.000146,6822.530835,0,"Financial PPI"
"m3",9.062574,0.048982,185.017052,0,"Financial PPI"
"theta3",-0.063241,0.011382,-5.556134,0,"Financial PPI"
"w23",4.215574,2.850727,1.478772,0.139201,"Financial PPI"
"alpha4",0.053168,0.005502,9.662953,0,"Financial GDP"
"gamma4",-6.542804,0.281311,-23.258235,0,"Financial GDP"
"beta4",0.001441,0.085267,0.016895,0.98652,"Financial GDP"
"m4",8.56552,0.084533,101.327142,0,"Financial GDP"
"theta4",-0.431435,0.117692,-3.665791,0.000247,"Financial GDP"
"w24",1.228143,0.266033,4.6165,4e-06,"Financial GDP"
"alpha5",0.000253,6e-06,39.462429,0,"Financial UMich"
"gamma5",0.000299,0.000358,0.834543,0.403975,"Financial UMich"
"beta5",0.998598,3.2e-05,31080.229602,0,"Financial UMich"
"m5",7.589663,0.132154,57.430632,0,"Financial UMich"
"theta5",0.43511,0.027964,15.559814,0,"Financial UMich"
"w25",1.418863,0.067549,21.004992,0,"Financial UMich"
"alpha6",0.000163,5e-06,32.611807,0,"Financial StLouisStress"
"gamma6",-0.021066,0.006528,-3.227051,0.001251,"Financial StLouisStress"
"beta6",0.99812,0.000134,7450.420223,0,"Financial StLouisStress"
"m6",7.628358,0.166274,45.878327,0,"Financial StLouisStress"
"theta6",0.149265,0.010603,14.077246,0,"Financial StLouisStress"
"w26",39.828861,0.010601,3756.996698,0,"Financial StLouisStress"
"alpha7",0.00019,8e-06,22.776506,0,"Financial GEPU"
"gamma7",-0.046596,0.00886,-5.258906,0,"Financial GEPU"
"beta7",0.997746,0.000117,8552.638583,0,"Financial GEPU"
"m7",7.08419,0.108009,65.588914,0,"Financial GEPU"
"theta7",-0.030415,0.006816,-4.462551,8e-06,"Financial GEPU"
"w27",1.001,0.268188,3.732457,0.00019,"Financial GEPU"
"alpha8",0.000136,6e-06,24.563464,0,"Financial GPR"
"gamma8",0.000169,3.6e-05,4.709498,2e-06,"Financial GPR"
"beta8",0.998779,4.9e-05,20482.313124,0,"Financial GPR"
"m8",9.499766,0.03947,240.685876,0,"Financial GPR"
"theta8",0.070022,0.005136,13.633278,0,"Financial GPR"
"w28",1.114021,0.09516,11.706858,0,"Financial GPR"
"alpha9",0.000206,8e-06,25.382953,0,"Financial BKK"
"gamma9",-0.053748,0.004955,-10.846559,0,"Financial BKK"
"beta9",0.997589,0.000102,9796.128378,0,"Financial BKK"
"m9",7.001313,4e-06,1761163.442002,0,"Financial BKK"
"theta9",-0.095747,0.019052,-5.025473,1e-06,"Financial BKK"
"w29",38.058282,0.293929,129.481051,0,"Financial BKK"
"alpha10",0.000172,9e-06,18.17164,0,"Financial Unemployment"
"gamma10",-0.05748,0.014165,-4.058026,4.9e-05,"Financial Unemployment"
"beta10",0.997613,0.000109,9173.96226,0,"Financial Unemployment"
"m10",7.066101,0.183694,38.466591,0,"Financial Unemployment"
"theta10",0.437846,0.236296,1.852959,0.063888,"Financial Unemployment"
"w210",25.083113,0.000504,49806.39576,0,"Financial Unemployment"
"alpha11",0.00012,4e-06,27.799953,0,"Financial CFNAI"
