"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.081848,0.028227,2.899625,0.003736,"Consumer GPR",9.98690956697309
"gamma",0.834685,0.225638,3.699214,0.000216,"Consumer GPR",0.11760414726037
"beta",0.00171,0.342529,0.004992,0.996017,"Consumer GPR",0.011745019833903
"m",12.468418,0.065575,190.139977,0,"Consumer GPR",61028.673425
"theta",0.082125,0.007649,10.736691,0,"Consumer GPR",61066.606332
"w2",1.466146,0.076271,19.222955,0,"Consumer GPR",-30508.3367125895
"alpha1",0.087182,0.027628,3.155625,0.001602,"Consumer GEPU",0.878601411149179
"gamma1",0.688938,0.121297,5.67978,0,"Consumer GEPU",0.109021261458845
"beta1",0.002025,0.317528,0.006377,0.994912,"Consumer GEPU",0.000957862341630048
"m1",12.224169,0.103841,117.720608,0,"Consumer GEPU",61062.077401
"theta1",0.021502,0.006309,3.408239,0.000654,"Consumer GEPU",61100.010307
"w21",1.615776,0.292364,5.526582,0,"Consumer GEPU",-30525.0387003762
"alpha2",0.087831,0.015469,5.677748,0,"Consumer NewOrders",0.418112647456226
"gamma2",0.675104,0.173445,3.892315,9.9e-05,"Consumer NewOrders",0.108829301919585
"beta2",0.001353,0.175681,0.007704,0.993853,"Consumer NewOrders",0.000455029075464106
"m2",12.190985,0.149154,81.734147,0,"Consumer NewOrders",61062.563392
"theta2",-0.043309,0.011801,-3.669951,0.000243,"Consumer NewOrders",61100.496299
"w22",1.535025,0.038656,39.710237,0,"Consumer NewOrders",-30525.2816961634
"alpha3",0.085346,0.016733,5.100482,0,"Consumer UMich",7.62060120323176
"gamma3",0.505798,0.079844,6.33481,0,"Consumer UMich",0.139051904432755
"beta3",0.001131,0.195051,0.005798,0.995374,"Consumer UMich",0.0105965911023192
"m3",12.026165,0.134283,89.558043,0,"Consumer UMich",61002.950136
"theta3",-0.21793,0.012814,-17.00741,0,"Consumer UMich",61040.883042
"w23",1.001,0.061167,16.364999,0,"Consumer UMich",-30495.4750678718
"alpha4",0.086184,0.024255,3.553255,0.00038,"Consumer Unemployment",22.7002816399129
"gamma4",0.962161,0.185074,5.198788,0,"Consumer Unemployment",0.22035014002022
"beta4",0.128372,0.241864,0.530759,0.595586,"Consumer Unemployment",0.0500201023785322
"m4",12.550576,0.242486,51.75793,0,"Consumer Unemployment",60901.960987
"theta4",2.647568,0.215103,12.308374,0,"Consumer Unemployment",60939.893893
"w24",1.001,0.156233,6.40709,0,"Consumer Unemployment",-30444.980493531
"alpha5",0.07532,0.077052,0.977527,0.328309,"Consumer CitiSuprise",2.69911641812707
"gamma5",0.571204,0.601571,0.949521,0.342356,"Consumer CitiSuprise",0.105047566963072
"beta5",0.00121,1.020551,0.001186,0.999054,"Consumer CitiSuprise",0.00283535612674329
"m5",12.120506,0.401646,30.177096,0,"Consumer CitiSuprise",61060.059953
"theta5",0.004343,0.001205,3.604583,0.000313,"Consumer CitiSuprise",61097.992859
"w25",1.001,0.092895,10.775659,0,"Consumer CitiSuprise",-30524.0299763943
"alpha6",0.00051,1.6e-05,31.354589,0,"Consumer VIX",21.9768610331909
"gamma6",0.005837,0.000343,17.022739,0,"Consumer VIX",0.269431400641316
"beta6",0.995571,0.000185,5380.974459,0,"Consumer VIX",0.0592125644987219
"m6",11.205657,0.034206,327.591571,0,"Consumer VIX",60583.964574
"theta6",0.077052,0.002562,30.079791,0,"Consumer VIX",60621.89748
"w26",1.001,0.099332,10.077308,0,"Consumer VIX",-30285.9822868126
"alpha7",0.000852,0.000713,1.194856,0.232143,"Consumer VXN",27.2745140218685
"gamma7",0.015654,0.016437,0.952389,0.3409,"Consumer VXN",0.382347250485052
"beta7",0.990321,0.010082,98.222723,0,"Consumer VXN",0.104283354445774
"m7",11.261182,0.07371,152.775883,0,"Consumer VXN",60576.752851
"theta7",0.104886,0.003634,28.862572,0,"Consumer VXN",60614.685757
"w27",1.001,0.588768,1.700159,0.089101,"Consumer VXN",-30282.3764253145
"alpha8",0.086402,0.017499,4.937553,1e-06,"Consumer RecessionSpread",2.13342162226012
"gamma8",0.691882,0.200382,3.452822,0.000555,"Consumer RecessionSpread",0.106456088158988
"beta8",0.001349,0.19713,0.006844,0.994539,"Consumer RecessionSpread",0.00227115720299615
"m8",12.230771,0.105139,116.329447,0,"Consumer RecessionSpread",61056.61449
"theta8",2.538171,0.135515,18.729795,0,"Consumer RecessionSpread",61094.547397
"w28",1.354043,0.223614,6.055259,0,"Consumer RecessionSpread",-30522.3072450749
"alpha9",0.000472,1.1e-05,42.627536,0,"Consumer DefaultSpread",15.3403048131117
"gamma9",0.003731,0.000109,34.257671,0,"Consumer DefaultSpread",0.190018521893076
"beta9",0.996662,7.3e-05,13654.793322,0,"Consumer DefaultSpread",0.0291494204597673
"m9",11.594017,0.023682,489.577701,0,"Consumer DefaultSpread",60711.366123
"theta9",0.14893,0.003352,44.43037,0,"Consumer DefaultSpread",60749.299029
"w29",1.001001,0.073421,13.633638,0,"Consumer DefaultSpread",-30349.6830613528
"alpha10",0.084409,0.009503,8.882819,0,"Consumer BKK",0.356511693037066
"gamma10",0.65662,0.107479,6.109291,0,"Consumer BKK",0.105911997311692
"beta10",0.001377,0.108181,0.012728,0.989845,"Consumer BKK",0.000377588654745286
"m10",12.194642,0.040551,300.723108,0,"Consumer BKK",61064.657489
"theta10",0.043812,0.016394,2.672531,0.007528,"Consumer BKK",61102.590395
"w210",1.977093,0.043977,44.957264,0,"Consumer BKK",-30526.3287444205
"alpha11",0.000337,7e-06,47.000957,0,"Consumer TermSpread",11.1924302191233
"gamma11",0.002676,6e-05,44.308956,0,"Consumer TermSpread",0.175268319536932
"beta11",0.997325,4.8e-05,20778.98282,0,"Consumer TermSpread",0.0196167843604012
"m11",12.357501,0.010433,1184.465057,0,"Consumer TermSpread",60761.449068
"theta11",5.999005,0.146293,41.006846,0,"Consumer TermSpread",60799.381974
"w211",1.198337,0.046492,25.775233,0,"Consumer TermSpread",-30374.7245338527
"alpha12",0.029781,0.10145,0.293559,0.769095,"Consumer EquityVol",121.788228802834
"gamma12",0.239342,0.357167,0.670114,0.502785,"Consumer EquityVol",0.318813593674406
"beta12",0.480251,1.769918,0.271341,0.786129,"Consumer EquityVol",0.388277428918722
"m12",13.366324,1.635257,8.173836,0,"Consumer EquityVol",60627.616231
"theta12",-4.398355,0.301845,-14.571556,0,"Consumer EquityVol",60665.549137
"w212",2.45578,0.369372,6.648521,0,"Consumer EquityVol",-30307.8081154709
"alpha13",0.000434,1.1e-05,38.93145,0,"Consumer StLouis",10.9932226157167
"gamma13",0.003362,0.000124,27.0738,0,"Consumer StLouis",0.186327306353633
"beta13",0.996884,7.9e-05,12618.152241,0,"Consumer StLouis",0.0204833755813234
"m13",12.35682,0.013119,941.901907,0,"Consumer StLouis",60746.084371
"theta13",0.295716,0.008021,36.865551,0,"Consumer StLouis",60784.017277
"w213",1.001071,0.139933,7.153936,0,"Consumer StLouis",-30367.0421854276
"alpha14",0.00092,0.000174,5.293602,0,"Consumer MOVE",29.2233001847833
"gamma14",0.016002,0.003171,5.04595,0,"Consumer MOVE",0.448794023699365
"beta14",0.990079,0.001916,516.73651,0,"Consumer MOVE",0.131152424757033
"m14",11.45978,0.09705,118.081722,0,"Consumer MOVE",60452.864087
"theta14",0.024344,0.000542,44.931879,0,"Consumer MOVE",60490.796993
"w214",1.001,0.216958,4.6138,4e-06,"Consumer MOVE",-30220.4320433575
"alpha15",0.003052,0.000561,5.435742,0,"Consumer CFNAI",18.7327675340983
"gamma15",0.045975,0.008677,5.298765,0,"Consumer CFNAI",0.2101065772035
"beta15",0.970686,0.005376,180.550953,0,"Consumer CFNAI",0.0393587766813823
"m15",13.432149,0.089351,150.3296,0,"Consumer CFNAI",60822.960223
"theta15",-0.607773,0.018053,-33.666459,0,"Consumer CFNAI",60860.89313
"w215",1.085521,0.108308,10.022554,0,"Consumer CFNAI",-30405.4801116106
"alpha16",0.000225,5e-06,41.59658,0,"Healthcare GPR",4.85965625168305
"gamma16",0.002307,3.9e-05,58.973267,0,"Healthcare GPR",0.101011970484018
"beta16",0.997621,3.6e-05,27479.775314,0,"Healthcare GPR",0.00490883453857479
"m16",12.522621,0.013632,918.625857,0,"Healthcare GPR",61429.416287
"theta16",0.057334,0.005625,10.192336,0,"Healthcare GPR",61467.349194
"w216",1.011228,0.066424,15.223918,0,"Healthcare GPR",-30708.7081435775
"alpha17",0.000232,5e-06,44.204582,0,"Healthcare GEPU",0.131804763144211
"gamma17",0.002367,3.9e-05,60.596597,0,"Healthcare GEPU",0.0852615804300734
"beta17",0.997584,3.6e-05,27722.310468,0,"Healthcare GEPU",0.000112378824138869
"m17",12.456123,0.011429,1089.912494,0,"Healthcare GEPU",61465.029327
"theta17",0.003094,0.00238,1.299957,0.193616,"Healthcare GEPU",61502.962233
"w217",5.942597,3.821056,1.555224,0.119893,"Healthcare GEPU",-30726.5146634088
"alpha18",0.000232,5e-06,42.475666,0,"Healthcare NewOrders",0.0309420268330831
"gamma18",0.002366,3.8e-05,61.785105,0,"Healthcare NewOrders",0.0841012180389422
"beta18",0.997585,3.5e-05,28448.382473,0,"Healthcare NewOrders",2.60226214525592e-05
"m18",12.453727,0.011362,1096.121628,0,"Healthcare NewOrders",61465.654761
"theta18",0.008275,0.008914,0.928306,0.353249,"Healthcare NewOrders",61503.587668
"w218",3.372766,0.018164,185.683978,0,"Healthcare NewOrders",-30726.8273806884
"alpha19",0.039069,0.004071,9.596322,0,"Healthcare UMich",7.42471095753527
"gamma19",0.622435,0.061219,10.167404,0,"Healthcare UMich",0.0870260542603053
"beta19",0.367409,0.063737,5.764462,0,"Healthcare UMich",0.00646143298657548
"m19",12.6174,0.04116,306.543984,0,"Healthcare UMich",61631.192665
"theta19",-0.170176,0.012125,-14.035102,0,"Healthcare UMich",61669.125571
"w219",1.001,0.075976,13.175259,0,"Healthcare UMich",-30809.5963322829
"alpha20",0.000241,5e-06,45.368925,0,"Healthcare Unemployment",2.91644549109495
"gamma20",0.002425,5.9e-05,41.165863,0,"Healthcare Unemployment",0.102328827853861
"beta20",0.997547,4.6e-05,21605.297997,0,"Healthcare Unemployment",0.00298436448603426
"m20",12.444458,0.01177,1057.303934,0,"Healthcare Unemployment",61449.731194
"theta20",0.612306,0.099007,6.184447,0,"Healthcare Unemployment",61487.664101
"w220",1.500572,0.392227,3.825775,0.00013,"Healthcare Unemployment",-30718.8655971961
"alpha21",0.000236,5e-06,43.945286,0,"Healthcare CitiSuprise",0.865151381639442
"gamma21",0.002353,3.9e-05,59.711052,0,"Healthcare CitiSuprise",0.0882414149172603
"beta21",0.997587,3.6e-05,27686.73395,0,"Healthcare CitiSuprise",0.00076342182033487
"m21",12.448217,0.011065,1125.049711,0,"Healthcare CitiSuprise",61460.880218
"theta21",-0.001591,0.000331,-4.807957,2e-06,"Healthcare CitiSuprise",61498.813124
"w221",4.747473,0.035615,133.298993,0,"Healthcare CitiSuprise",-30724.4401088005
"alpha22",0.000346,1.1e-05,30.583084,0,"Healthcare VIX",25.0684802192773
"gamma22",0.005804,0.000414,14.034243,0,"Healthcare VIX",0.20107628142659
"beta22",0.995752,0.000203,4899.185478,0,"Healthcare VIX",0.0504067678350829
"m22",11.497377,0.03034,378.947131,0,"Healthcare VIX",61195.001073
"theta22",0.071092,0.003331,21.342447,0,"Healthcare VIX",61232.93398
"w222",1.001,0.098141,10.199643,0,"Healthcare VIX",-30591.5005366453
"alpha23",0.000584,7.8e-05,7.469584,0,"Healthcare VXN",29.9568812114208
