"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"alpha",0.097044,0.03193,3.039269,0.002372,"Consumer HousingStart"
"gamma",0.714622,0.11033,6.477131,0,"Consumer HousingStart"
"beta",0.001247,0.328414,0.003797,0.99697,"Consumer HousingStart"
"m",12.044103,0.314751,38.265486,0,"Consumer HousingStart"
"theta",-0.075893,0.002143,-35.421789,0,"Consumer HousingStart"
"w2",1.001,0.078551,12.74331,0,"Consumer HousingStart"
"alpha1",0.090705,0.015703,5.776314,0,"Consumer IndProd"
"gamma1",0.741749,0.166681,4.450122,0.000009,"Consumer IndProd"
"beta1",0.001364,0.168533,0.008093,0.993542,"Consumer IndProd"
"m1",12.231229,0.145609,84.000275,0,"Consumer IndProd"
"theta1",-0.122157,0.009121,-13.393289,0,"Consumer IndProd"
"w21",1.001,0.174222,5.745537,0,"Consumer IndProd"
"alpha2",0.087975,0.080643,1.090924,0.275306,"Consumer CoreInflation"
"gamma2",0.722565,0.374276,1.930566,0.053537,"Consumer CoreInflation"
"beta2",0.001368,0.907964,0.001507,0.998798,"Consumer CoreInflation"
"m2",12.238398,0.271164,45.132859,0,"Consumer CoreInflation"
"theta2",-0.011975,0.001274,-9.401068,0,"Consumer CoreInflation"
"w22",1.001001,0.868776,1.152197,0.24924,"Consumer CoreInflation"
"alpha3",0.076621,0.008419,9.101446,0,"Consumer PPI"
"gamma3",0.490827,0.14173,3.463111,0.000534,"Consumer PPI"
"beta3",0.001302,0.102403,0.012715,0.989856,"Consumer PPI"
"m3",12.013589,0.089613,134.061379,0,"Consumer PPI"
"theta3",0.084189,0.010809,7.78911,0,"Consumer PPI"
"w23",1.001,0.333566,3.000907,0.002692,"Consumer PPI"
"alpha4",0.090935,0.026062,3.489127,0.000485,"Consumer GDP"
"gamma4",1.001697,0.353074,2.837074,0.004553,"Consumer GDP"
"beta4",0.140954,0.244256,0.577074,0.56389,"Consumer GDP"
"m4",13.048724,0.170642,76.46839,0,"Consumer GDP"
"theta4",-0.345458,0.047572,-7.261812,0,"Consumer GDP"
"w24",1.001,0.250143,4.001713,0.000063,"Consumer GDP"
"alpha5",0.08356,0.0061,13.698187,0,"Consumer UMich"
"gamma5",0.434829,0.116907,3.719452,0.0002,"Consumer UMich"
"beta5",0.001264,0.0672,0.018809,0.984993,"Consumer UMich"
"m5",11.986042,0.062773,190.943449,0,"Consumer UMich"
"theta5",-0.206266,0.014776,-13.959428,0,"Consumer UMich"
"w25",1.04727,0.091791,11.409243,0,"Consumer UMich"
"alpha6",0.000421,0.000011,39.692797,0,"Consumer StLouisStress"
"gamma6",0.003106,0.000111,28.031809,0,"Consumer StLouisStress"
"beta6",0.997026,0.000069,14352.597103,0,"Consumer StLouisStress"
"m6",12.314384,0.012385,994.297933,0,"Consumer StLouisStress"
"theta6",0.278148,0.006664,41.74031,0,"Consumer StLouisStress"
"w26",1.001007,0.092395,10.834006,0,"Consumer StLouisStress"
"alpha7",0.085407,0.018949,4.507152,0.000007,"Consumer GEPU"
"gamma7",0.637191,0.249849,2.550304,0.010763,"Consumer GEPU"
"beta7",0.001541,0.218895,0.00704,0.994383,"Consumer GEPU"
"m7",12.179495,0.105277,115.690087,0,"Consumer GEPU"
"theta7",0.016538,0.005886,2.809935,0.004955,"Consumer GEPU"
"w27",2.154547,0.176225,12.226126,0,"Consumer GEPU"
"alpha8",0.077794,0.042844,1.815746,0.069409,"Consumer GPR"
"gamma8",0.512188,0.424026,1.207917,0.227079,"Consumer GPR"
"beta8",0.001148,0.549807,0.002088,0.998334,"Consumer GPR"
"m8",12.244042,0.113675,107.710961,0,"Consumer GPR"
"theta8",0.118294,0.007128,16.596431,0,"Consumer GPR"
"w28",1.189284,0.065986,18.023151,0,"Consumer GPR"
"alpha9",0.084583,0.012058,7.014441,0,"Consumer BKK"
"gamma9",0.665189,0.056805,11.710127,0,"Consumer BKK"
"beta9",0.001408,0.141419,0.009957,0.992055,"Consumer BKK"
"m9",12.200027,0.04147,294.192017,0,"Consumer BKK"
"theta9",0.037534,0.016939,2.215827,0.026703,"Consumer BKK"
"w29",1.001004,0.138469,7.229091,0,"Consumer BKK"
"alpha10",0.099969,0.019147,5.221139,0,"Consumer Unemployment"
"gamma10",0.579089,0.146975,3.94006,0.000081,"Consumer Unemployment"
"beta10",0.00111,0.186696,0.005943,0.995258,"Consumer Unemployment"
"m10",11.980253,0.133098,90.010568,0,"Consumer Unemployment"
"theta10",2.968874,0.17372,17.090023,0,"Consumer Unemployment"
"w210",1.001,0.208016,4.812129,0.000001,"Consumer Unemployment"
"alpha11",0.003028,0.00048,6.301613,0,"Consumer CFNAI"
