"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha105",0.096898,0.010091,9.602261,0,"SP100 HousingStart",11.7644787582834
"gamma105",0.537076,0.104041,5.162182,0,"SP100 HousingStart",0.228636975099245
"beta105",0.00114,0.100468,0.011349,0.990945,"SP100 HousingStart",0.0268979483691324
"m105",12.308603,0.069252,177.736852,0,"SP100 HousingStart",63177.002828
"theta105",-0.065925,0.002486,-26.522772,0,"SP100 HousingStart",63214.935734
"w2105",1.001,0.096151,10.410673,0,"SP100 HousingStart",-31582.5014139883
"alpha106",0.096989,0.026213,3.699984,0.000216,"SP100 IndProd",3.76603533012377
"gamma106",0.779429,0.137131,5.683811,0,"SP100 IndProd",0.202645202847863
"beta106",0.001304,0.269292,0.004844,0.996135,"SP100 IndProd",0.0076316899340515
"m106",12.627503,0.123196,102.498938,0,"SP100 IndProd",63290.037932
"theta106",-0.147158,0.010953,-13.435677,0,"SP100 IndProd",63327.970838
"w2106",1.001,0.177223,5.648256,0,"SP100 IndProd",-31639.018966002
"alpha107",0.09423,0.025758,3.658303,0.000254,"SP100 CoreInflation",2.25904766140725
"gamma107",0.76574,0.107973,7.091936,0,"SP100 CoreInflation",0.182619382267003
"beta107",0.001433,0.270839,0.005291,0.995778,"SP100 CoreInflation",0.00412545888437909
"m107",12.65239,0.155716,81.253143,0,"SP100 CoreInflation",63328.047251
"theta107",-0.012377,0.001367,-9.054688,0,"SP100 CoreInflation",63365.980157
"w2107",2.39017,0.179383,13.324402,0,"SP100 CoreInflation",-31658.0236253778
"alpha108",0.090858,0.062675,1.449669,0.147151,"SP100 PPI",0.102097598725996
"gamma108",0.615557,0.255597,2.408313,0.016026,"SP100 PPI",0.172476844600647
"beta108",0.001335,0.681528,0.001958,0.998437,"SP100 PPI",0.000176094716695629
"m108",12.524758,0.153972,81.344596,0,"SP100 PPI",63347.596667
"theta108",0.014559,0.008242,1.766442,0.077322,"SP100 PPI",63385.529574
"w2108",1.001,0.131645,7.603809,0,"SP100 PPI",-31667.7983335803
"alpha109",0.080466,2.222382,0.036207,0.971117,"SP100 GDP",20.4348694687879
"gamma109",0.998504,24.293809,0.041101,0.967215,"SP100 GDP",0.237209961350983
"beta109",0.274832,20.079012,0.013688,0.989079,"SP100 GDP",0.0484735459690357
"m109",13.946436,11.60557,1.201702,0.229479,"SP100 GDP",63276.551557
"theta109",-0.527649,0.136777,-3.857729,0.000114,"SP100 GDP",63314.484464
"w2109",1.001,0.685181,1.460929,0.144035,"SP100 GDP",-31632.2757785649
