"","Estimate","Std..Error","t.value","Pr...t.."
"alpha",0.001588,0.000147,10.832563,0
"gamma",0.039698,0.002845,13.951585,0
"beta",0.976811,0.001659,588.917916,0
"m",10.808497,0.098317,109.934739,0
"theta",0.02358,0.000565,41.727989,0
"w2",1.001001,0.08437,11.864417,0
"alpha102",0.002216,0.000267,8.308907,0
"gamma102",0.027434,0.003877,7.075772,0
"beta102",0.975189,0.002993,325.77927,0
"m102",11.704523,0.04421,264.750342,0
"theta102",-0.008222,0.001022,-8.046061,0
"w2102",1.442447,0.192527,7.492196,0
"alpha101",0.000279,0.000008,36.466766,0
"gamma101",0.00248,0.000076,32.697823,0
"beta101",0.997481,0.000053,18880.96671,0
"m101",11.13403,0.022637,491.84925,0
"theta101",5.790686,0.590831,9.800921,0
"w2101",1.184648,0.083071,14.260637,0
"alpha100",0.042413,0.00242,17.526988,0
"gamma100",-0.416626,0.111153,-3.74821,0.000178
"beta100",0.001016,0.014721,0.068994,0.944995
"m100",12.665666,0.078829,160.672212,0
"theta100",-4.06435,0.207623,-19.575601,0
"w2100",1.191804,0.072619,16.411709,0
"alpha99",0.002582,0.000353,7.315041,0
"gamma99",0.041682,0.005756,7.241531,0
"beta99",0.9746,0.003392,287.286071,0
"m99",11.715946,0.117556,99.662764,0
"theta99",0.196343,0.004009,48.972185,0
"w299",1.245831,0.07502,16.606671,0
"alpha98",0.082082,0.106471,0.770936,0.440745
"gamma98",0.733832,1.008706,0.727498,0.466921
"beta98",0.004707,1.295115,0.003634,0.9971
"m98",11.306783,0.096713,116.910083,0
"theta98",-0.036019,0.005078,-7.093407,0
"w298",1.251587,0.864134,1.448372,0.147513
"alpha97",0.000279,0.000006,43.80051,0
"gamma97",0.002088,0.000057,36.763835,0
"beta97",0.997677,0.000041,24104.274964,0
"m97",11.311305,0.01279,884.365328,0
"theta97",2.5855,0.413942,6.246044,0
"w297",1.213319,0.095337,12.726589,0
"alpha96",0.005066,0.000837,6.053212,0
"gamma96",0.105941,0.01723,6.148647,0
"beta96",0.938354,0.009951,94.299326,0
"m96",11.160033,0.120528,92.592675,0
"theta96",0.09659,0.002061,46.866443,0
"w296",1.001,0.077793,12.867542,0
"alpha95",0.002767,0.000279,9.899598,0
"gamma95",0.05266,0.005209,10.108633,0
"beta95",0.969643,0.002857,339.411843,0
"m95",11.50372,0.168663,68.205257,0
"theta95",0.102026,0.002241,45.533105,0
"w295",1.090032,0.065909,16.538481,0
"alpha94",0.004427,0.000614,7.215987,0
"gamma94",0.076192,0.010525,7.239401,0
"beta94",0.952333,0.006454,147.563195,0
"m94",12.503449,0.112972,110.677489,0
"theta94",-0.651067,0.01345,-48.405051,0
"w294",1.001,0.086391,11.586797,0
"alpha93",0.089161,0.021534,4.140479,0.000035
"gamma93",0.895935,0.317752,2.819605,0.004808
"beta93",0.001779,0.239304,0.007436,0.994067
"m93",11.342532,0.360784,31.438577,0
"theta93",2.736093,0.162631,16.823888,0
"w293",1.001,0.138256,7.240174,0
"alpha92",0.073821,0.006338,11.647396,0
"gamma92",0.713354,0.179207,3.980618,0.000069
"beta92",0.002523,0.086091,0.029307,0.97662
"m92",11.364923,0.112595,100.936302,0
"theta92",0.137456,0.021092,6.516888,0
"w292",1.001,0.196428,5.096011,0
"alpha91",0.072515,0.00997,7.273454,0
"gamma91",0.517777,0.312508,1.656841,0.097552
"beta91",0.001154,0.133679,0.00863,0.993114
"m91",11.344409,0.210002,54.020354,0
"theta91",0.123121,0.00774,15.907947,0
"w291",1.001001,0.045781,21.865208,0
"alpha90",0.077858,0.007871,9.892198,0
"gamma90",0.637229,0.59879,1.064195,0.287241
"beta90",0.001827,0.094874,0.019258,0.984636
"m90",11.242615,0.449365,25.018901,0
"theta90",-0.004957,0.004087,-1.212954,0.225147
"w290",1.001003,0.524561,1.908267,0.056357
"alpha89",0.003072,0.000387,7.946004,0
"gamma89",0.051017,0.006523,7.821186,0
"beta89",0.968361,0.003847,251.686029,0
"m89",12.723728,0.147574,86.219132,0
"theta89",0.419238,0.007534,55.646558,0
"w289",1.001,0.10203,9.810829,0
"alpha88",0.078165,0.011411,6.85017,0
"gamma88",0.539959,0.058968,9.156745,0
"beta88",0.001514,0.144249,0.010498,0.991624
"m88",11.160679,0.096382,115.796813,0
"theta88",-0.096258,0.020225,-4.759449,0.000002
"w288",1.001,0.312955,3.198545,0.001381
"alpha87",0.025375,0.020727,1.224272,0.22085
"gamma87",0.394588,0.452785,0.87147,0.383498
