Date,Instrument,Price Close
2005-01-03,.SPX,1202.08
2005-01-04,.SPX,1188.05
2005-01-05,.SPX,1183.74
2005-01-06,.SPX,1187.89
2005-01-07,.SPX,1186.19
2005-01-10,.SPX,1190.25
2005-01-11,.SPX,1182.99
2005-01-12,.SPX,1187.7
2005-01-13,.SPX,1177.45
2005-01-14,.SPX,1184.52
2005-01-14,.SPX,1184.52
2005-01-18,.SPX,1195.98
2005-01-19,.SPX,1184.63
2005-01-20,.SPX,1175.41
2005-01-21,.SPX,1167.87
2005-01-24,.SPX,1163.75
2005-01-25,.SPX,1168.41
2005-01-26,.SPX,1174.07
2005-01-27,.SPX,1174.55
2005-01-28,.SPX,1171.36
2005-01-31,.SPX,1181.27
2005-02-01,.SPX,1189.41
2005-02-02,.SPX,1193.19
2005-02-03,.SPX,1189.89
2005-02-04,.SPX,1203.03
2005-02-07,.SPX,1201.72
2005-02-08,.SPX,1202.3
2005-02-09,.SPX,1191.99
2005-02-10,.SPX,1197.01
2005-02-11,.SPX,1205.3
2005-02-14,.SPX,1206.14
2005-02-15,.SPX,1210.12
2005-02-16,.SPX,1210.34
2005-02-17,.SPX,1200.75
2005-02-18,.SPX,1201.59
2005-02-18,.SPX,1201.59
2005-02-22,.SPX,1184.16
2005-02-23,.SPX,1190.8
2005-02-24,.SPX,1200.2
2005-02-25,.SPX,1211.37
2005-02-28,.SPX,1203.6
2005-03-01,.SPX,1210.41
2005-03-02,.SPX,1210.08
2005-03-03,.SPX,1210.47
2005-03-04,.SPX,1222.12
2005-03-07,.SPX,1225.31
2005-03-08,.SPX,1219.43
2005-03-09,.SPX,1207.01
2005-03-10,.SPX,1209.25
2005-03-11,.SPX,1200.08
2005-03-14,.SPX,1206.83
2005-03-15,.SPX,1197.75
2005-03-16,.SPX,1188.07
2005-03-17,.SPX,1190.21
2005-03-18,.SPX,1189.65
2005-03-21,.SPX,1183.78
2005-03-22,.SPX,1171.71
2005-03-23,.SPX,1172.53
2005-03-24,.SPX,1171.42
2005-03-24,.SPX,1171.42
2005-03-28,.SPX,1174.28
2005-03-29,.SPX,1165.36
2005-03-30,.SPX,1181.41
2005-03-31,.SPX,1180.59
2005-04-01,.SPX,1172.92
2005-04-04,.SPX,1176.12
2005-04-05,.SPX,1181.39
2005-04-06,.SPX,1184.07
2005-04-07,.SPX,1191.14
2005-04-08,.SPX,1181.2
2005-04-11,.SPX,1181.21
2005-04-12,.SPX,1187.76
2005-04-13,.SPX,1173.79
2005-04-14,.SPX,1162.05
2005-04-15,.SPX,1142.62
2005-04-18,.SPX,1145.98
2005-04-19,.SPX,1152.78
2005-04-20,.SPX,1137.5
2005-04-21,.SPX,1159.95
2005-04-22,.SPX,1152.12
2005-04-25,.SPX,1162.1
