Date,Instrument,Close Price
2005-01-03,.5SP40,409.5284
2005-01-04,.5SP40,405.5828
2005-01-05,.5SP40,404.7311
2005-01-06,.5SP40,406.784
2005-01-07,.5SP40,404.7739
2005-01-10,.5SP40,405.3963
2005-01-11,.5SP40,403.2867
2005-01-12,.5SP40,402.2778
2005-01-13,.5SP40,398.7077
2005-01-14,.5SP40,400.2048
2005-01-14,.5SP40,400.2048
2005-01-18,.5SP40,406.2372
2005-01-19,.5SP40,402.2441
2005-01-20,.5SP40,399.3381
2005-01-21,.5SP40,396.9639
2005-01-24,.5SP40,397.3725
2005-01-25,.5SP40,397.9651
2005-01-26,.5SP40,399.2244
2005-01-27,.5SP40,397.4696
2005-01-28,.5SP40,396.5339
2005-01-31,.5SP40,401.5638
2005-02-01,.5SP40,406.3048
2005-02-02,.5SP40,405.4582
2005-02-03,.5SP40,403.7882
2005-02-04,.5SP40,408.6857
2005-02-07,.5SP40,408.3378
2005-02-08,.5SP40,406.8866
2005-02-09,.5SP40,405.8678
2005-02-10,.5SP40,407.3349
2005-02-11,.5SP40,410.1757
2005-02-14,.5SP40,409.7252
2005-02-15,.5SP40,410.713
2005-02-16,.5SP40,408.1106
2005-02-17,.5SP40,404.252
2005-02-18,.5SP40,399.9485
2005-02-18,.5SP40,399.9485
2005-02-22,.5SP40,393.8542
2005-02-23,.5SP40,397.0528
2005-02-24,.5SP40,398.111
2005-02-25,.5SP40,401.6852
2005-02-28,.5SP40,398.5025
2005-03-01,.5SP40,401.9603
2005-03-02,.5SP40,400.3435
2005-03-03,.5SP40,399.4698
2005-03-04,.5SP40,404.3241
2005-03-07,.5SP40,405.288
2005-03-08,.5SP40,404.412
2005-03-09,.5SP40,399.308
2005-03-10,.5SP40,401.3413
2005-03-11,.5SP40,397.1346
2005-03-14,.5SP40,400.108
2005-03-15,.5SP40,397.0247
2005-03-16,.5SP40,393.6713
2005-03-17,.5SP40,392.0375
2005-03-18,.5SP40,390.6809
2005-03-21,.5SP40,386.9238
2005-03-22,.5SP40,379.5311
2005-03-23,.5SP40,379.9201
2005-03-24,.5SP40,378.4144
2005-03-24,.5SP40,378.4144
2005-03-28,.5SP40,380.8867
2005-03-29,.5SP40,379.2877
2005-03-30,.5SP40,383.3502
2005-03-31,.5SP40,382.4665
2005-04-01,.5SP40,376.9585
2005-04-04,.5SP40,379.3253
2005-04-05,.5SP40,380.0371
2005-04-06,.5SP40,382.7843
2005-04-07,.5SP40,383.784
2005-04-08,.5SP40,381.0608
2005-04-11,.5SP40,381.5502
2005-04-12,.5SP40,386.2068
2005-04-13,.5SP40,380.8606
2005-04-14,.5SP40,376.5146
2005-04-15,.5SP40,372.3879
2005-04-18,.5SP40,375.4913
2005-04-19,.5SP40,376.6325
2005-04-20,.5SP40,371.4704
2005-04-21,.5SP40,374.2706
2005-04-22,.5SP40,372.4673
2005-04-25,.5SP40,377.222
2005-04-26,.5SP40,375.4035
2005-04-27,.5SP40,380.1644
2005-04-28,.5SP40,375.9479
2005-04-29,.5SP40,381.8022
2005-05-02,.5SP40,382.8156
2005-05-03,.5SP40,383.1564
2005-05-04,.5SP40,390.2604
2005-05-05,.5SP40,388.3082
2005-05-06,.5SP40,386.0617
2005-05-09,.5SP40,389.319
2005-05-10,.5SP40,383.9595
2005-05-11,.5SP40,386.0747
2005-05-12,.5SP40,382.0252
2005-05-13,.5SP40,378.539
2005-05-16,.5SP40,384.9532
2005-05-17,.5SP40,387.6484
2005-05-18,.5SP40,391.8561
2005-05-19,.5SP40,392.4074
2005-05-20,.5SP40,392.2907
2005-05-23,.5SP40,392.2047
2005-05-24,.5SP40,391.534
2005-05-25,.5SP40,389.7285
2005-05-26,.5SP40,392.6918
2005-05-27,.5SP40,393.2052
2005-05-27,.5SP40,393.2052
2005-05-31,.5SP40,391.6749
2005-06-01,.5SP40,395.092
2005-06-02,.5SP40,394.3924
2005-06-03,.5SP40,391.6835
2005-06-06,.5SP40,392.6412
2005-06-07,.5SP40,392.4513
2005-06-08,.5SP40,392.8178
2005-06-09,.5SP40,393.8094
2005-06-10,.5SP40,392.825
2005-06-13,.5SP40,392.9182
2005-06-14,.5SP40,393.6937
2005-06-15,.5SP40,394.9848
2005-06-16,.5SP40,396.3242
2005-06-17,.5SP40,398.305
2005-06-20,.5SP40,398.2217
2005-06-21,.5SP40,398.7402
2005-06-22,.5SP40,399.0054
2005-06-23,.5SP40,394.827
2005-06-24,.5SP40,394.278
2005-06-27,.5SP40,394.1034
2005-06-28,.5SP40,397.4055
2005-06-29,.5SP40,398.9171
2005-06-30,.5SP40,396.4155
2005-07-01,.5SP40,396.7674
2005-07-01,.5SP40,396.7674
2005-07-05,.5SP40,399.6649
2005-07-06,.5SP40,397.1564
2005-07-07,.5SP40,397.9054
2005-07-08,.5SP40,401.4791
2005-07-11,.5SP40,403.1406
2005-07-12,.5SP40,404.0266
2005-07-13,.5SP40,405.1118
2005-07-14,.5SP40,406.9329
2005-07-15,.5SP40,407.956
2005-07-18,.5SP40,403.7282
2005-07-19,.5SP40,404.0187
2005-07-20,.5SP40,405.2067
2005-07-21,.5SP40,403.125
2005-07-22,.5SP40,405.2945
2005-07-25,.5SP40,403.783
2005-07-26,.5SP40,404.2236
2005-07-27,.5SP40,404.4465
2005-07-28,.5SP40,405.304
2005-07-29,.5SP40,401.5966
2005-08-01,.5SP40,401.591
2005-08-02,.5SP40,404.3513
2005-08-03,.5SP40,405.0121
2005-08-04,.5SP40,402.3467
2005-08-05,.5SP40,397.5956
2005-08-08,.5SP40,395.8925
2005-08-09,.5SP40,398.0982
2005-08-10,.5SP40,397.6562
2005-08-11,.5SP40,399.8871
2005-08-12,.5SP40,398.1071
2005-08-15,.5SP40,400.1664
2005-08-16,.5SP40,398.2463
2005-08-17,.5SP40,398.1461
2005-08-18,.5SP40,398.4018
2005-08-19,.5SP40,398.894
2005-08-22,.5SP40,399.9398
2005-08-23,.5SP40,397.6827
2005-08-24,.5SP40,393.6205
2005-08-25,.5SP40,394.8678
2005-08-26,.5SP40,391.2612
2005-08-29,.5SP40,393.3322
2005-08-30,.5SP40,390.865
2005-08-31,.5SP40,393.5236
2005-09-01,.5SP40,394.7485
2005-09-02,.5SP40,394.3279
2005-09-02,.5SP40,394.3279
2005-09-06,.5SP40,398.7647
2005-09-07,.5SP40,398.9401
2005-09-08,.5SP40,396.7565
2005-09-09,.5SP40,399.6505
2005-09-12,.5SP40,400.2894
2005-09-13,.5SP40,398.0089
2005-09-14,.5SP40,397.1031
2005-09-15,.5SP40,397.2207
2005-09-16,.5SP40,402.9067
2005-09-19,.5SP40,399.7036
2005-09-20,.5SP40,397.6513
2005-09-21,.5SP40,391.1073
2005-09-22,.5SP40,393.0302
2005-09-23,.5SP40,394.0319
2005-09-26,.5SP40,393.1002
2005-09-27,.5SP40,393.2504
2005-09-28,.5SP40,391.5151
2005-09-29,.5SP40,397.7219
2005-09-30,.5SP40,396.7006
2005-10-03,.5SP40,396.0824
2005-10-04,.5SP40,391.7999
2005-10-05,.5SP40,389.892
2005-10-06,.5SP40,390.8093
2005-10-07,.5SP40,391.2919
2005-10-10,.5SP40,388.8221
2005-10-11,.5SP40,386.5299
2005-10-12,.5SP40,384.432
2005-10-13,.5SP40,386.0348
2005-10-14,.5SP40,390.0274
2005-10-17,.5SP40,390.7985
2005-10-18,.5SP40,388.6247
2005-10-19,.5SP40,396.2936
2005-10-20,.5SP40,392.1457
2005-10-21,.5SP40,394.0725
2005-10-24,.5SP40,401.6543
2005-10-25,.5SP40,400.0289
2005-10-26,.5SP40,401.6775
2005-10-27,.5SP40,400.1011
2005-10-28,.5SP40,406.7895
2005-10-31,.5SP40,408.5136
2005-11-01,.5SP40,406.7927
2005-11-02,.5SP40,410.7125
2005-11-03,.5SP40,409.6838
2005-11-04,.5SP40,411.2356
2005-11-07,.5SP40,414.2603
2005-11-08,.5SP40,412.5598
2005-11-09,.5SP40,414.5728
2005-11-10,.5SP40,422.1283
2005-11-11,.5SP40,424.2879
2005-11-14,.5SP40,424.2771
2005-11-15,.5SP40,420.2325
2005-11-16,.5SP40,418.546
2005-11-17,.5SP40,423.2752
2005-11-18,.5SP40,425.2836
2005-11-21,.5SP40,427.501
2005-11-22,.5SP40,430.7562
2005-11-23,.5SP40,434.4181
2005-11-23,.5SP40,434.4181
2005-11-25,.5SP40,434.9298
2005-11-28,.5SP40,432.1512
2005-11-29,.5SP40,431.9834
2005-11-30,.5SP40,425.9379
2005-12-01,.5SP40,429.2365
2005-12-02,.5SP40,429.4708
2005-12-05,.5SP40,428.649
2005-12-06,.5SP40,427.7707
2005-12-07,.5SP40,424.2646
2005-12-08,.5SP40,423.4947
2005-12-09,.5SP40,426.5648
2005-12-12,.5SP40,425.2464
2005-12-13,.5SP40,429.7677
2005-12-14,.5SP40,431.3662
2005-12-15,.5SP40,429.4543
2005-12-16,.5SP40,430.1278
2005-12-19,.5SP40,427.2368
2005-12-20,.5SP40,427.9354
2005-12-21,.5SP40,429.953
2005-12-22,.5SP40,432.3223
2005-12-23,.5SP40,432.9769
2005-12-23,.5SP40,432.9769
2005-12-27,.5SP40,429.589
2005-12-28,.5SP40,428.7458
2005-12-29,.5SP40,428.0186
2005-12-30,.5SP40,426.399
2005-12-30,.5SP40,426.399
2006-01-03,.5SP40,433.4778
2006-01-04,.5SP40,432.6337
2006-01-05,.5SP40,434.1864
2006-01-06,.5SP40,436.43
2006-01-09,.5SP40,438.294
2006-01-10,.5SP40,438.2674
2006-01-11,.5SP40,440.1406
2006-01-12,.5SP40,437.149
2006-01-13,.5SP40,437.222
2006-01-13,.5SP40,437.222
2006-01-17,.5SP40,433.1373
2006-01-18,.5SP40,431.6345
2006-01-19,.5SP40,430.2558
2006-01-20,.5SP40,421.033
2006-01-23,.5SP40,422.7634
2006-01-24,.5SP40,423.909
2006-01-25,.5SP40,424.7408
2006-01-26,.5SP40,431.571
2006-01-27,.5SP40,432.3695
2006-01-30,.5SP40,431.2545
2006-01-31,.5SP40,429.5126
2006-02-01,.5SP40,429.3741
2006-02-02,.5SP40,425.5578
2006-02-03,.5SP40,423.4605
2006-02-06,.5SP40,424.4823
2006-02-07,.5SP40,422.046
2006-02-08,.5SP40,424.9367
2006-02-09,.5SP40,425.8256
2006-02-10,.5SP40,427.7788
2006-02-13,.5SP40,426.4068
2006-02-14,.5SP40,431.8967
2006-02-15,.5SP40,433.8521
2006-02-16,.5SP40,436.6903
2006-02-17,.5SP40,435.0186
2006-02-17,.5SP40,435.0186
2006-02-21,.5SP40,433.8102
2006-02-22,.5SP40,441.6894
2006-02-23,.5SP40,440.2145
2006-02-24,.5SP40,441.144
2006-02-27,.5SP40,441.4595
2006-02-28,.5SP40,437.1452
2006-03-01,.5SP40,438.8591
2006-03-02,.5SP40,436.391
2006-03-03,.5SP40,435.2869
2006-03-06,.5SP40,434.1952
2006-03-07,.5SP40,435.6293
2006-03-08,.5SP40,435.7947
2006-03-09,.5SP40,433.1996
2006-03-10,.5SP40,436.6963
2006-03-13,.5SP40,436.6912
2006-03-14,.5SP40,441.7938
2006-03-15,.5SP40,442.5066
2006-03-16,.5SP40,443.965
2006-03-17,.5SP40,445.147
2006-03-20,.5SP40,445.3318
2006-03-21,.5SP40,441.3208
2006-03-22,.5SP40,444.504
2006-03-23,.5SP40,442.3823
2006-03-24,.5SP40,442.3897
2006-03-27,.5SP40,442.3729
2006-03-28,.5SP40,438.141
2006-03-29,.5SP40,439.9098
2006-03-30,.5SP40,437.7322
2006-03-31,.5SP40,437.4468
2006-04-03,.5SP40,437.9288
2006-04-04,.5SP40,442.5368
2006-04-05,.5SP40,443.7063
2006-04-06,.5SP40,442.3644
2006-04-07,.5SP40,437.9335
2006-04-10,.5SP40,438.6379
2006-04-11,.5SP40,434.7575
2006-04-12,.5SP40,435.4904
2006-04-13,.5SP40,436.2787
2006-04-13,.5SP40,436.2787
2006-04-17,.5SP40,436.1327
2006-04-18,.5SP40,443.6772
2006-04-19,.5SP40,444.3837
2006-04-20,.5SP40,445.2151
2006-04-21,.5SP40,444.8677
2006-04-24,.5SP40,444.5004
2006-04-25,.5SP40,441.8652
2006-04-26,.5SP40,444.6894
2006-04-27,.5SP40,450.8634
2006-04-28,.5SP40,455.2114
2006-05-01,.5SP40,448.3496
2006-05-02,.5SP40,451.3608
2006-05-03,.5SP40,450.7146
2006-05-04,.5SP40,451.7066
2006-05-05,.5SP40,458.091
2006-05-08,.5SP40,456.0943
2006-05-09,.5SP40,456.8698
2006-05-10,.5SP40,456.9968
2006-05-11,.5SP40,449.8153
2006-05-12,.5SP40,445.3551
2006-05-15,.5SP40,448.0083
2006-05-16,.5SP40,447.4949
