,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,781.0,24314.0,4077.0,4577.0,132.0,0.17063578763382128,0.10924186148131965,49.0,15042.0,368.0,1128.0,69.0,0.04343971631205674,0.6737588652482269,,,,,,,,13.509,914.308,142.728,235.48,28.548,0.0573679293358247,0.39388483098352295,205.0,36560.0,8255.0,9910.0,418.0,0.020686175580221997,0.16700302724520685
2000-06-30,1917.0,25473.0,4200.0,5011.0,321.0,0.3825583715825185,0.16184394332468569,115.0,15125.0,360.0,1137.0,174.0,0.1011433597185576,0.683377308707124,,,,,,,,27.781,969.394,142.161,226.206,33.813,0.12281283431916042,0.3715418689159438,452.0,37477.0,12665.0,14841.0,620.0,0.030456168721784246,0.1466208476517755
2000-09-30,2792.0,25899.0,4377.0,5256.0,313.0,0.5312024353120244,0.16723744292237444,147.0,14586.0,351.0,1225.0,214.0,0.12,0.713469387755102,,,,,,,,40.219,976.935,150.091,237.053,23.706,0.169662480542326,0.3668462326990166,617.0,39447.0,9698.0,11877.0,609.0,0.05194914540708933,0.18346383766944516
2000-12-31,3678.0,26213.0,4466.0,4859.0,47.0,0.7569458736365507,0.08088083967894628,246.0,15072.0,347.0,1169.0,145.0,0.21043627031650983,0.7031650983746792,,,,,,,,52.248,981.803,137.356,218.81,15.709,0.23878250536995566,0.3722590375211371,932.0,42028.0,11835.0,14693.0,481.0,0.06343156605186143,0.19451439460967807
2001-03-31,847.0,26534.0,4451.0,4760.0,-43.0,0.17794117647058824,0.06491596638655463,219.0,27594.0,,1411.0,239.0,0.1552090715804394,,,,,,,,,14.469,971.694,146.51,224.41,22.545,0.06447573637538434,0.34713248072724034,240.0,43798.0,10768.0,13293.0,1237.0,0.018054615211013314,0.18994959753253593
2001-06-30,2124.0,29002.0,5306.0,5583.0,-507.0,0.38044062332079526,0.049614902382231776,1220.0,29287.0,1104.0,2319.0,242.0,0.5260888313928418,0.5239327296248383,,,,,,,,28.558,999.122,143.981,211.286,14.805,0.13516276516191322,0.3185492649773293,470.0,44697.0,12669.0,15516.0,840.0,0.030291312193864398,0.18348801237432327
2001-09-30,3059.0,31840.0,5183.0,4816.0,-414.0,0.6351744186046512,-0.07620431893687708,1539.0,30895.0,790.0,2389.0,211.0,0.644202595228129,0.6693177061532022,,,,,,,,37.928,1166.461,166.889,242.017,16.761,0.15671626373353936,0.31042447431378783,712.0,47905.0,11197.0,13687.0,650.0,0.05202016512018704,0.18192445386132827
2001-12-31,3640.0,32841.0,4479.0,3804.0,-798.0,0.9568874868559412,-0.1774447949526814,1911.0,33544.0,867.0,2494.0,-307.0,0.7662389735364876,0.6523656776263032,,,,,,,,49.903,1129.475,160.574,239.186,14.056,0.20863679312334332,0.3286647211793332,1068.0,48343.0,12772.0,15702.0,100.0,0.06801681314482232,0.18660043306585147
2002-03-31,619.0,31614.0,4551.0,4163.0,-1563.0,0.14869084794619264,-0.09320201777564256,407.0,31346.0,1467.0,2616.0,342.0,0.15558103975535167,0.43922018348623854,,,,,,,,8.182,1130.91,155.793,231.822,16.798,0.035294320642561966,0.32796283355332967,223.0,46551.0,11353.0,13821.0,-1249.0,0.01613486723102525,0.17856884451197452
2002-06-30,1113.0,31538.0,4771.0,4508.0,-495.0,0.2468944099378882,-0.05834072759538598,1319.0,32129.0,2647.0,3784.0,7.0,0.34857293868921774,0.30047568710359407,,,,,,,,19.267,1161.966,172.045,252.706,20.694,0.07624274849034056,0.31918909721177974,463.0,47228.0,11320.0,13857.0,779.0,0.03341271559500614,0.18308436169445047
