Date,CHRW.OQ,WM.N,BA.N,PAYX.OQ,MAS.N,PAYC.N,DAY.N,PCAR.OQ,GNRC.N,PWR.N,SNA.N,UAL.OQ,JBHT.OQ,CMI.N,PNR.N,IR.N,WAB.N,BR.N,IEX.N,GD.N,CPRT.OQ,TXT.N,AOS.N,HII.N,PH.N,NSC.N,HWM.N,AXON.OQ,NOC.N,DE.N,GE.N,ALLE.N,FTV.N,AME.N,EMR.N,HUBB.N,EFX.N,RTX.N,DOV.N,FDX.N,CTAS.OQ,RSG.N,URI.N,TDG.N,GWW.N,ODFL.OQ,FAST.OQ,LDOS.N,CSX.OQ,LHX.N,JCI.N,ROL.N,UPS.N,UNP.N,MMM.N,ADP.OQ,NDSN.OQ,VRSK.OQ,HON.OQ,CAT.N,ITW.N,TT.N,LUV.N,SWK.N,DAL.N,ROK.N,ETN.N,XYL.N,LII.N,LMT.N,J.N
2019-01-02,82.98,88.72,323.81,65.07,29.55,119.7,33.76,37.197451274,50.99,29.92,147.46,84.18,93.24,133.38,37.77,21.0,70.86,95.08,125.05,157.26,11.92,46.09,43.47,192.56,150.39,149.54,14.22625856,45.11,246.37,148.1,38.526017212,81.05,56.3157801,67.49,59.75,99.02,93.04,63.876921623,71.25,163.19,41.8725,71.53,105.62,269.426762957,276.58,41.14002057,12.669074502,52.05,20.64997935,133.14,30.5,23.713451702,97.21,137.78,159.64852125,130.14,117.07,108.65,131.83,126.38,126.6,70.983504,47.14,120.73,50.09,150.87,68.61,66.51,216.13,264.73,48.329791892
2019-01-03,79.92,88.48,310.9,63.97,29.07,116.5,33.23,36.335982475,49.15,29.55,145.46,80.0,90.89,130.74,36.64,20.58,69.48,93.65,121.42,153.37,11.7225,44.92,42.42,188.84,144.84,144.02,14.12661343,43.29,239.92,144.05,38.573875619,79.68,54.04140858,65.57,58.46,96.27,91.34,61.034015231,69.79,157.19,41.2025,71.36,101.98,258.241962846,268.04,39.630019815,12.309283629,51.33,20.32664634,130.05,30.01,23.435015869,94.45,132.68,153.637142,126.21,112.76,105.33,130.07,121.51,123.45,69.84311328,45.61,117.21,45.61,145.54,66.63,64.23,212.25,258.08,47.354601153
2019-01-04,82.69,90.83,327.08,66.2,30.74,121.02,34.39,37.949629255,51.14,31.17,150.77,82.68,93.36,136.17,38.15,20.94,71.25,96.88,129.35,157.77,12.14,46.88,44.12,195.52,151.33,150.53,14.53285896,46.01,247.9,151.68,39.387468529,79.5,56.40775836,68.05,59.72,100.37,94.25,63.12195893,72.96,164.43,43.14,72.81,110.13,270.473850627,279.13,40.996687165,12.814469444,53.38,20.92997907,132.92,31.21,24.197399695,97.74,137.79,159.957869,131.24,116.77,109.98,134.62,128.15,127.18,72.2247456,47.86,123.15,47.79,150.13,68.53,66.94,219.61,265.04,49.189282036
2019-01-07,83.09,91.05,328.11,65.85,31.6,124.11,35.91,37.904627154,51.07,31.29,152.7,83.23,94.62,136.84,38.54,21.61,70.57,97.15,131.83,158.65,12.2075,46.43,44.91,195.99,151.88,151.57,14.87778441,48.15,249.83,154.16,41.828247259,80.33,56.6920548,67.94,60.17,100.75,93.68,63.092468199,73.93,166.73,43.2125,73.1,114.12,270.918069639,277.13,41.470020735,12.908113643,53.5,20.81664585,133.79,31.72,24.263693941,97.41,138.65,159.589996,130.53,116.95,110.09,135.37,128.23,127.21,71.47224288,47.87,125.75,47.85,151.38,68.73,65.95,218.99,268.08,49.197546364
2019-01-08,83.76,92.34,340.53,66.35,31.89,127.14,35.95,38.271072837,51.97,31.77,154.65,82.38,95.88,137.2,39.66,21.86,71.0,98.36,134.9,158.66,12.4075,47.55,46.01,194.67,155.05,156.64,14.92377447,49.41,250.96,156.92,40.966795943,81.44,56.95126626,68.94,60.67,101.1,94.39,64.230810385,75.56,167.02,43.68,73.98,116.26,274.352834495,278.98,42.70002135,13.243261306,53.91,21.11664555,133.74,31.94,24.701235963,97.42,150.75,160.258856,131.3,120.03,111.07,135.09,129.77,130.01,71.7980688,47.54,128.07,47.47,153.36,68.18,66.57,221.93,269.87,49.280189647
2019-01-09,84.72,91.87,343.83,66.31,32.74,128.47,35.62,37.69247439,52.77,31.81,157.76,83.76,96.97,137.47,40.24,22.38,72.3,98.52,135.54,160.9,12.575,47.28,46.65,192.3,156.25,159.01,14.96209952,50.26,252.15,154.33,40.679645504,82.35,57.88777218,69.4,61.4,102.33,96.0,64.478532519,76.35,170.59,44.0625,73.91,118.47,274.860513366,280.01,42.72002136,13.280226121,54.57,21.32664534,133.36,31.97,25.198442806,97.92,150.36,160.7772225,131.42,122.99,111.49,135.72,130.27,129.99,73.2332544,49.08,131.05,48.47,154.28,69.06,67.65,224.7,270.54,49.709934718
2019-01-10,85.44,93.19,352.61,67.41,32.81,128.61,36.18,38.033204586,53.26,32.42,160.11,81.37,97.1,139.33,40.47,22.49,73.11,99.12,136.57,162.43,12.65,47.92,46.55,192.53,157.96,161.41,15.03108461,49.69,257.66,159.12,42.785415389,82.2,58.43128008,70.6,62.11,103.69,96.66,65.121430437,77.48,170.12,44.37,74.55,118.78,277.549624882,284.49,42.690021345,13.425621063,54.91,21.56331177,134.89,31.88,25.629355403,98.91,154.66,161.86412,132.46,124.48,112.64,137.75,132.96,131.44,73.90817952,48.99,132.03,48.73,153.31,70.19,68.91,225.06,277.5,50.205794416
2019-01-11,85.63,93.65,352.9,67.29,32.56,127.3,35.89,38.213212992,53.54,32.3,160.33,80.07,97.48,139.54,40.45,22.71,73.49,98.78,136.56,163.81,12.665,48.01,46.34,194.52,157.98,163.58,15.08473968,49.45,256.05,158.28,42.689698576,82.07,58.12189866,70.55,62.02,105.59,96.65,64.85011572,77.86,170.99,44.4475,74.65,117.45,277.24025807,284.5,42.61335464,13.514336621,55.42,21.73997826,136.91,32.18,25.390696119,97.91,153.21,160.70197575,131.65,122.74,112.01,137.36,132.1,130.31,73.66768896,48.52,132.71,48.56,155.85,70.22,69.32,225.04,277.73,49.974393224
2019-01-14,85.85,93.11,350.36,67.23,32.44,124.57,35.6,38.553943189,52.89,32.09,162.13,79.91,98.01,140.23,40.38,22.0,72.54,98.9,135.60500000000002,164.53,12.48,48.02,46.4,196.03,156.17,163.72,14.84712437,49.78,259.96,157.41,42.593981763,81.77,58.22223858,70.21,61.69,104.81,96.17,65.380948863,78.06,171.55,44.165,73.85,116.74,276.097980612,281.21,41.97335432,13.3245839,55.33,21.75664491,138.04,32.37,25.437102091,99.14,153.89,160.66853275,130.9,122.38,111.18,137.61,131.8,130.17,73.74526656,48.76,130.89,47.75,156.2,70.38,69.16,224.15,277.51,49.660348749
2019-01-15,85.23,93.78,352.24,68.14,31.45,130.77,36.64,38.296788323,53.44,31.91,161.63,81.2,97.08,138.9,40.27,21.92,71.16,100.04,134.65,163.14,12.34,48.15,46.06,197.49,154.4,162.49,15.38367507,49.35,258.94,157.05,41.780388853,81.75,58.52325834,69.88,61.52,104.26,97.41,65.50480993,78.1,170.63,44.385,74.88,116.15,276.756376647,293.22,41.95335431,13.452728595,55.39,21.70331163,138.79,31.71,25.582949431,97.56,152.48,157.9680105,132.33,122.58,112.62,137.77,130.69,130.09,73.10913024,49.61,128.99,47.83,156.82,69.88,68.85,224.4,276.0,49.552912481
2019-01-16,85.02,92.7,352.06,68.48,30.77,131.38,36.87,38.611803034,53.57,31.92,162.45,86.36,96.95,141.37,40.17,21.84,71.95,99.37,135.84,163.6,12.33,48.03,45.72,195.57,155.82,162.81,15.4066701,49.63,255.74,158.56,42.976849015,81.01,58.54834332,70.28,61.38,105.05,98.41,65.392745155,77.73,171.36,44.5675,74.42,117.5,276.581862035,288.81,42.23335445,13.336905506,55.28,21.79331154,136.57,31.67,25.29125475,96.99,151.97,158.419491,132.76,123.65,112.98,138.02,131.66,129.97,72.75227328,49.78,129.63,47.5,157.67,70.1,68.97,220.08,272.39,49.321511288
2019-01-17,86.04,93.32,359.09,68.75,31.61,132.22,37.39,39.434698603,54.13,32.54,166.23,86.74,99.92,145.1,40.36,22.23,74.23,100.11,137.84,165.72,12.435,48.62,46.48,197.12,159.52,165.08,15.46799018,50.22,264.08,160.07,43.742583518,81.76,59.68552908,71.23,62.0,106.56,101.05,66.513392903,79.06,173.27,45.2275,75.08,119.38,276.883296365,299.28,43.410021705,14.130416883,56.08,21.69664497,138.65,32.26,25.125519136,99.58,154.64,160.28393825,132.94,125.07,113.16,139.88,134.54,132.67,72.66693792,50.59,132.65,48.22,160.26,70.97,70.15,220.64,278.8,50.015714865
2019-01-18,88.67,94.47,364.73,69.9,32.22,136.24,38.23,40.489033551,54.74,33.5,167.76,85.59,106.11,150.56,41.17,23.22,75.65,101.31,140.77,168.58,12.515,49.4,48.01,200.29,162.49,169.05,15.59063034,50.19,267.75,164.61,43.359716266,83.51,61.06520298,72.36,63.68,107.6,104.24,67.179883406,80.69,176.91,46.2275,76.26,123.32,282.309114291,305.39,45.543356105,14.625745413,56.88,22.45331088,142.78,32.73,25.642614253,101.6,158.34,163.7536495,135.18,128.28,115.7,141.85,136.6,136.67,74.55983136,51.57,136.88,48.11,164.75,71.87,71.21,225.37,282.87,51.660316197
2019-01-22,86.95,94.88,357.9,69.4,30.99,136.54,37.6,39.891148489,54.08,33.41,162.65,83.34,103.8,146.18,40.16,22.78,72.95,99.64,137.6,167.22,12.41,48.45,47.16,196.5,158.35,165.34,13.09950209,48.7,264.73,158.84,41.445380007,82.18,59.92801722,70.79,63.01,104.45,103.62,68.1058923345,79.29,175.9,45.69,76.18,118.24,272.552161002,300.61,44.30002215,14.564137387,56.12,21.94331139,139.25,32.55,25.456990365,102.68,155.02,160.7437795,133.17,125.41,116.3,139.82,132.24,132.17,72.147168,50.54,115.69,47.1,163.47,70.44,69.27,223.98,279.59,51.032227246
2019-01-23,86.98,94.91,358.61,69.84,30.94,137.02,37.61,39.614707008,52.85,33.23,163.17,82.88,101.89,143.45,40.31,22.43,70.25,99.81,135.91,168.81,12.3175,49.17,47.306666666666665,196.61,156.81,164.21,13.83534305,48.06,270.23,157.61,41.732530446,82.43,59.48484924,70.71,62.4,103.91,104.02,69.031901263,78.82,173.68,45.535,76.27,116.02,275.590301742,297.16,43.64668849,14.514850966,56.15,21.69331164,142.12,32.04,24.661459416,100.92,154.33,160.76886175,134.42,124.96,116.81,140.74,131.82,131.11,72.50402496,51.02,118.55,47.3,161.81,70.15,68.39,224.75,283.51,50.990905605
2019-01-24,86.54,94.41,358.27,69.62,31.47,138.49,38.89,39.723997826,53.46,33.64,163.37,84.03,102.71,143.89,40.46,22.65,71.03,100.8,136.76,170.82,12.3775,51.92,47.45333333333333,199.05,158.07,165.94,14.1036184,48.43,269.82,158.43,42.019680885,83.0,59.35942434,71.2,63.04,104.46,103.82,68.158975649,79.18,174.1,45.63,75.84,121.64,276.653254376,286.22,43.86002193,14.492672076,56.37,21.68331165,141.93,32.27,25.045966041,99.7,160.34,160.961159,134.75,126.32,116.15,141.18,132.73,130.93,72.8453664,54.21,118.24,47.52,162.74,70.16,68.63,225.57,285.25,51.387593363
2019-01-25,87.05,94.9,364.2,70.39,31.62,143.05,39.4,40.302596273,53.62,34.75,163.22,84.14,104.36,146.84,41.06,24.18,68.54,101.84,137.26,171.22,12.52,52.6,47.6,202.08,160.99,165.12,14.21092854,49.1,272.84,161.5,43.838300331,84.19,60.4129935,71.32,63.94,105.62,105.63,68.3064293,79.48,175.36,46.245,76.24,127.26,279.112323904,291.83,44.85335576,14.670103192,57.05,22.0666446,143.48,32.71,25.277995901,100.83,160.95,163.7870925,136.41,127.7,117.24,141.71,136.86,133.25,73.28755872,54.98,120.58,47.69,166.36,71.07,69.86,224.3,287.04,52.701621563
2019-01-28,86.77,94.5,362.97,70.0,32.11,144.0,39.62,39.408983116,53.07,35.02,162.86,84.6,104.45,142.82,40.54,23.97,67.3,100.55,135.65,172.19,12.46,52.8,48.2,204.58,157.66,165.79,13.99630826,49.07,274.3,156.49,42.737556982,84.28,60.11197374,70.15,62.41,105.69,105.21,67.875864639,79.24,173.96,45.7475,75.73,124.79,278.247683328,288.93,45.223355945,14.635602697,57.09,21.86997813,142.69,32.69,24.767530209,100.33,159.9,161.52969,135.5,127.62,116.23,140.48,124.37,131.05,73.26428544,55.52,121.21,48.01,163.25,69.11,69.35,223.95,287.87,52.156175895
