date,MOVE,SPX,SKEWX,RVOL,VIX,VVIX,CESIUSD,GPR,Year_Week,GEP,Returns,Squared Returns
2006-03-15,63.36,1303.02,119.12,9.13,11.35,15.71,-38.5,92.79762268066406,2006-03-01,58.3398508740508,1.9184869075931674,3.6805920146063946
2006-03-16,65.43,1305.33,142.02,8.51,11.98,27.94,-40.1,92.79762268066406,2006-03-01,58.3398508740508,0.1771235151666985,0.031372739625007674
2006-03-17,64.51,1307.25,130.06,8.47,12.12,28.6,-41.8,92.79762268066406,2006-03-01,58.3398508740508,0.1469811715358435,0.02160346478604905
2006-03-20,63.2,1305.08,124.39,8.02,11.79,37.93,-40.5,92.79762268066406,2006-03-01,58.3398508740508,-0.16613525083865482,0.027600921571222757
2006-03-21,64.6,1297.23,120.69,8.31,11.62,37.35,-40.3,92.79762268066406,2006-03-01,58.3398508740508,-0.6033119659604207,0.3639853282710278
2006-04-11,69.8,1286.57,113.56,8.17,13.0,69.55,-19.3,89.01580047607422,2006-04-01,72.89702340289507,-0.8251459465525978,0.6808658331121825
2006-04-24,64.4,1308.11,128.77,8.75,11.75,63.42,11.8,89.01580047607422,2006-04-01,72.89702340289507,1.6603584905721072,2.756790317214886
2006-04-25,67.1,1301.74,129.66,8.9,11.75,61.33,27.3,89.01580047607422,2006-04-01,72.89702340289507,-0.48815162935259143,0.23829201323958982
2006-05-01,63.9,1305.19,129.67,8.49,12.54,61.96,45.3,85.20877838134766,2006-05-01,63.11460213079887,0.26467929818482117,0.07005513088760948
2006-05-22,71.1,1262.07,126.15,10.47,17.72,91.76,47.8,85.20877838134766,2006-05-01,63.11460213079887,-3.359539395398803,11.286504949236553
2006-05-23,68.3,1256.58,125.15,10.57,18.26,88.66,48.5,85.20877838134766,2006-05-01,63.11460213079887,-0.4359485196304034,0.1900511117679402
2006-05-24,71.9,1258.57,127.4,10.44,17.36,88.63,52.4,85.20877838134766,2006-05-01,63.11460213079887,0.15824109220131163,0.02504024326106401
2006-05-25,68.7,1272.88,132.35,11.2,15.5,82.64,42.9,85.20877838134766,2006-05-01,63.11460213079887,1.1305893799113371,1.2782323459683018
2006-05-26,67.1,1280.16,128.5,11.28,14.26,72.5,43.2,85.20877838134766,2006-05-01,63.11460213079887,0.5703020502212761,0.32524442848659096
2006-05-30,66.0,1259.84,122.67,12.43,18.66,82.14,46.6,85.20877838134766,2006-05-01,63.11460213079887,-1.60003413464413,2.56010923202639
