date,SPX,VIX,VVIX,Skew,Realized Vol,Returns
2006-03-07,1275.88,12.66,71.73,116.21,8.67,-0.1863641530098769
2006-03-08,1278.47,12.32,71.73,117.21,8.69,0.20279138627049767
2006-03-09,1272.23,12.68,71.73,114.2,8.37,-0.48927842932927684
2006-03-10,1281.58,11.85,71.73,116.21,8.32,0.7322425534597481
2006-03-13,1284.13,11.37,71.73,116.54,8.35,0.19877545315904271
2006-03-14,1297.48,10.74,71.73,114.43,9.05,1.0342475432269527
2006-03-15,1303.02,11.35,15.71,119.12,9.13,0.42607255381606984
2006-03-16,1305.33,11.98,27.94,142.02,8.51,0.1771235151666985
2006-03-17,1307.25,12.12,28.6,130.06,8.47,0.1469811715358435
2006-03-20,1305.08,11.79,37.93,124.39,8.02,-0.16613525083865482
2006-03-21,1297.23,11.62,37.35,120.69,8.31,-0.6033119659604207
2006-03-22,1305.04,11.21,37.35,121.7,8.53,0.6002469727797934
2006-03-23,1301.67,11.17,37.35,119.23,8.25,-0.2585636206187141
2006-03-24,1302.95,11.19,37.35,124.34,8.18,0.09828689813050509
2006-03-27,1301.61,11.46,37.35,118.23,8.17,-0.10289646759754464
2006-03-28,1293.23,11.58,37.35,118.71,8.38,-0.6458994877124561
2006-03-29,1302.89,10.95,37.35,117.94,7.88,0.7441909143243306
2006-03-30,1300.25,11.57,37.35,116.77,7.41,-0.20283203401265074
2006-03-31,1294.83,11.39,37.35,115.72,7.49,-0.41771412680208403
2006-04-03,1297.81,11.57,37.35,115.48,7.49,0.2298816119732086
2006-04-04,1305.93,11.14,37.35,117.06,7.36,0.6237202120132505
2006-04-05,1311.56,11.13,37.35,117.1,7.45,0.43018377776463046
2006-04-06,1309.04,11.45,37.35,118.03,7.45,-0.1923224282031771
2006-04-07,1295.5,12.26,37.35,115.7,8.09,-1.0397323118475394
2006-04-10,1296.6,12.19,37.35,116.51,7.7,0.08487327387305837
2006-04-11,1286.57,13.0,69.55,113.56,8.17,-0.7765691306171916
2006-04-12,1288.12,12.76,69.55,115.71,7.35,0.12040285915982092
2006-04-13,1289.12,12.38,69.55,117.99,7.17,0.07760240025644255
2006-04-13,1289.12,12.38,69.55,117.99,7.17,0.0
2006-04-17,1285.33,12.58,69.55,113.56,7.19,-0.29443203309178156
2006-04-18,1307.65,11.4,69.55,116.74,9.26,1.7216138414304434
2006-04-19,1309.93,11.32,69.55,121.7,9.28,0.17420675407145025
2006-04-20,1311.46,11.64,69.55,130.0,9.0,0.11673197606888619
2006-04-21,1311.28,11.59,69.55,122.05,8.77,-0.01372610325710344
2006-04-24,1308.11,11.75,63.42,128.77,8.75,-0.24204120406601617
2006-04-25,1301.74,11.75,61.33,129.66,8.9,-0.48815162935259143
2006-04-26,1305.41,11.76,61.33,126.14,8.94,0.281533661206419
2006-04-27,1309.72,11.84,61.33,129.21,8.75,0.3296206232452179
2006-04-28,1310.61,11.59,61.33,125.2,8.4,0.06793037779397684
2006-05-01,1305.19,12.54,61.96,129.67,8.49,-0.4144053640607736
2006-05-02,1313.21,11.99,61.96,124.01,8.62,0.6125897555969916
2006-05-03,1307.85,11.99,61.96,127.46,8.7,-0.4089954042803166
2006-05-04,1312.25,11.86,61.96,125.86,8.54,0.3358653590475547
2006-05-05,1325.76,11.62,61.96,128.06,9.16,1.0242658756627785
2006-05-08,1324.66,12.0,61.96,125.25,9.14,-0.08300571706807189
2006-05-09,1325.14,11.99,61.96,123.02,8.43,0.0362291497660455
2006-05-10,1322.85,11.78,61.96,119.62,8.44,-0.17296142137172002
2006-05-11,1305.92,12.49,61.96,120.68,9.12,-1.288072678485847
2006-05-12,1291.24,14.19,61.96,123.21,9.93,-1.130477624726917
2006-05-15,1294.5,13.57,61.96,121.86,9.97,0.2521523221420629
2006-05-16,1292.08,13.35,61.96,130.15,9.96,-0.1871197261334709
2006-05-17,1270.32,16.26,61.96,121.87,10.08,-1.6984485712415862
2006-05-18,1261.81,16.99,61.96,123.09,10.32,-0.672163912629495
2006-05-19,1267.03,17.18,61.96,136.93,10.42,0.4128380928752418
2006-05-22,1262.07,17.72,91.76,126.15,10.47,-0.3922348945520407
2006-05-23,1256.58,18.26,88.66,125.15,10.57,-0.4359485196304034
2006-05-24,1258.57,17.36,88.63,127.4,10.44,0.15824109220131163
2006-05-25,1272.88,15.5,82.64,132.35,11.2,1.1305893799113371
2006-05-26,1280.16,14.26,72.5,128.5,11.28,0.5703020502212761
2006-05-26,1280.16,14.26,72.5,128.5,11.28,0.0
2006-05-30,1259.84,18.66,82.14,122.67,12.43,-1.60003413464413
2006-05-31,1270.09,16.44,77.44,121.97,12.59,0.8103035328110058
2006-06-01,1285.71,14.52,74.08,128.02,13.11,1.222333084067142
2006-06-02,1288.22,14.32,70.27,127.02,13.06,0.19503256076287478
2006-06-05,1265.29,16.65,77.38,120.42,14.28,-1.796007563184398
2006-06-06,1263.85,17.34,78.66,121.79,13.84,-0.11387271211589062
2006-06-07,1256.15,17.8,73.86,120.81,14.0,-0.6111130129850364
2006-06-08,1257.93,18.35,78.12,120.19,14.01,0.1416025184104818
2006-06-09,1252.3,18.12,79.87,118.74,14.12,-0.4485652263047778
2006-06-12,1236.4,20.96,83.52,121.27,14.07,-1.2777929312025478
2006-06-13,1223.69,23.81,93.2,121.55,13.97,-1.033304723729569
2006-06-14,1230.04,21.46,102.11,124.24,14.06,0.517580514222648
2006-06-15,1256.16,15.9,99.13,131.6,15.79,2.101275928705346
2006-06-16,1251.54,17.25,106.93,128.32,14.6,-0.3684655442854352
2006-06-19,1240.14,17.83,102.56,125.31,14.77,-0.9150516555291496
2006-06-20,1240.12,16.69,94.76,126.54,14.69,-0.001612734148893403
2006-06-21,1252.2,15.52,92.4,127.36,14.97,0.9693855200899526
2006-06-22,1245.6,15.88,91.85,125.08,14.99,-0.5284662791421598
2006-06-23,1244.5,15.89,86.81,122.55,14.99,-0.08834987121417669
2006-06-26,1250.56,15.62,90.71,124.87,14.48,0.48576081666618415
2006-06-27,1239.2,16.4,95.12,120.3,14.69,-0.9125440871649589
2006-06-28,1246.0,15.79,96.44,118.99,13.82,0.5472410244739624
2006-06-29,1272.87,13.03,96.63,124.11,15.46,2.1335773021229376
2006-06-30,1270.2,13.08,92.1,118.28,14.91,-0.20998249997532442
2006-07-03,1280.19,13.05,89.13,120.93,15.06,0.7834136029032719
2006-07-03,1280.19,13.05,89.13,120.93,15.06,0.0
2006-07-05,1270.91,14.15,91.98,120.22,14.04,-0.7275325101150035
2006-07-06,1274.08,13.65,92.88,116.81,14.04,0.24911702123773918
2006-07-07,1265.48,13.97,91.46,114.97,14.05,-0.6772852678868595
2006-07-10,1267.34,14.02,93.52,115.89,14.06,0.14687189254316207
2006-07-11,1272.52,13.14,91.99,119.17,13.99,0.40789706378056934
2006-07-12,1258.6,14.49,91.99,115.97,13.85,-1.099919430067037
2006-07-13,1242.29,17.79,91.99,115.4,14.15,-1.3043541491046342
2006-07-14,1236.2,18.05,91.99,117.48,14.12,-0.4914292376613781
2006-07-17,1234.49,18.64,91.99,118.56,12.16,-0.13842289182720163
2006-07-18,1236.86,17.74,91.99,122.9,12.15,0.1917980639353509
2006-07-19,1259.81,15.55,91.99,121.58,13.28,1.8385005977969826
2006-07-20,1249.13,16.21,91.99,118.55,13.57,-0.8513606948320689
2006-07-21,1240.29,17.4,91.99,118.33,13.4,-0.7102085752630797
2006-07-24,1260.91,14.98,99.61,122.03,14.37,1.6488459267507476
2006-07-25,1268.88,14.85,94.97,120.53,14.53,0.6300939104524034
2006-07-26,1268.4,14.62,89.23,120.86,14.46,-0.037835793111217604
2006-07-27,1263.2,14.94,95.29,119.78,14.21,-0.4108079722759994
2006-07-28,1278.55,14.33,93.16,121.4,14.65,1.2078439355172446
