Date,.OEX,.5SP25,.5SP40,.5SP35,.5SP55,.5SP60,.5SP15,.TRCCRBTR,.MID,.SPCY,.SPCDNX
2004-09-01,538.6,240.1875,385.0318,341.3248,126.8553,108.097,164.0367,238.009,581.37,279.84,1533.34
2004-09-02,544.15,244.1554,389.4517,344.9158,127.446,108.8322,166.1383,236.668,586.57,283.82,1529.05
2004-09-03,541.06,243.7452,389.3707,344.5652,127.0344,109.6158,165.8816,233.624,583.81,282.42,1527.59
2004-09-07,545.0,245.7821,393.8463,346.6139,127.7313,110.6127,167.2127,231.343,588.16,285.87,1505.62
2004-09-08,543.12,244.9338,390.9336,345.9761,126.5715,110.0319,165.4216,230.791,582.54,283.25,1510.47
2004-09-09,543.89,243.5662,390.4121,344.6389,126.9728,107.5839,166.0493,234.513,586.68,286.87,1506.16
2004-09-10,546.25,245.7894,392.191,343.7551,127.2629,107.5229,164.5584,231.115,589.05,288.66,1520.82
2004-09-13,546.11,246.5269,391.4655,345.1049,126.3876,106.6186,164.2271,234.221,592.7,290.39,1513.65
2004-09-14,546.93,247.738,392.014,346.9318,126.3368,105.1506,163.9742,235.069,591.28,289.43,1517.63
2004-09-15,542.63,246.4356,390.0821,345.7824,126.2901,105.17,163.4151,233.188,588.11,288.0,1525.78
2004-09-16,543.35,247.6842,392.5278,345.4419,127.3837,106.8413,164.0498,233.148,592.17,290.81,1526.25
2004-09-17,545.8,248.0596,392.8743,346.4564,127.7874,106.6695,163.4308,236.502,592.1,290.62,1532.94
2004-09-20,541.93,246.5863,389.1417,343.0679,127.4244,105.6989,163.6017,237.499,589.42,289.59,1528.12
2004-09-21,544.74,248.0509,392.3142,344.6798,127.8861,105.9123,164.2605,241.426,594.32,293.22,1530.12
2004-09-22,536.84,245.1989,385.1792,339.9796,127.4112,105.1035,162.9269,245.352,587.12,287.55,1538.57
2004-09-23,534.2,245.38,381.505,338.0876,126.4099,104.3496,161.5473,245.408,585.29,287.65,1544.4
2004-09-24,534.37,246.4608,383.3096,338.8916,126.4495,104.9296,162.9485,243.892,588.5,287.96,1553.94
2004-09-27,531.02,244.5757,380.7854,336.9762,126.6899,105.0731,162.8774,246.71,582.76,284.36,1556.14
2004-09-28,534.19,244.5061,382.7914,339.8259,127.4603,105.378,166.4901,247.174,586.77,287.76,1583.36
2004-09-29,536.56,245.7231,383.9641,340.9529,127.0085,104.8122,167.352,248.778,589.02,291.18,1598.49
2004-09-30,534.86,246.5684,383.4848,334.296,127.409,105.7265,169.6595,249.254,593.2,291.59,1629.38
2004-10-01,543.11,249.7388,389.1946,337.6563,128.4278,107.8701,170.5756,249.85,601.79,297.52,1649.65
2004-10-05,544.48,251.2832,387.6325,337.7373,129.0847,108.4195,170.8138,251.614,602.12,298.39,1658.91
