Date,.DJI,.IXIC,.INX,.NDX,.SPX,.SPSUPX,.GSPTSE
2006-06-02,11247.87353,2219.41,1288.22,1612.9,1288.22,292.72,11898.69
2006-06-05,11048.72387,2169.62,1265.29,1577.5,1265.29,287.23,11699.49
2006-06-06,11002.13822,2162.78,1263.85,1575.39,1263.85,286.73,11666.14
2006-06-07,10930.89899,2151.8,1256.15,1565.22,1256.15,284.94,11475.42
2006-06-08,10938.82335,2145.32,1257.93,1561.55,1257.93,285.17,11415.52
2006-06-12,10792.58283,2091.32,1236.4,1520.31,1236.4,279.98,11197.58
2006-06-14,10816.91623,2086.0,1230.04,1530.26,1230.04,278.36,10960.68
2006-06-16,11014.54505,2129.95,1251.54,1562.84,1251.54,283.52,11207.95
2006-06-19,10942.10516,2110.42,1240.14,1548.94,1240.14,280.69,11007.58
2006-06-20,10974.84319,2107.06,1240.12,1548.32,1240.12,280.55,10995.48
2006-06-21,11079.46079,2141.2,1252.2,1573.56,1252.2,283.57,11112.83
2006-06-22,11019.10756,2122.98,1245.6,1554.49,1245.6,282.09,11130.21
2006-06-23,10989.09103,2121.47,1244.5,1551.05,1244.5,282.12,11249.02
2006-06-26,11045.28197,2133.67,1250.56,1556.17,1250.56,283.58,11372.2
2006-06-28,10973.56248,2111.84,1246.0,1538.25,1246.0,282.33,11332.32
2006-06-29,11190.8021,2174.38,1272.87,1585.56,1272.87,288.74,11520.91
2006-06-30,11150.21976,2172.09,1270.2,1575.23,1270.2,288.43,11612.87
2006-07-05,11151.82064,2153.34,1270.91,1553.95,1270.91,288.31,11626.44
2006-07-06,11225.3011,2155.09,1274.08,1551.55,1274.08,289.04,11602.01
2006-07-07,11090.66696,2130.06,1265.48,1533.71,1265.48,286.93,11631.91
2006-07-10,11103.55406,2116.93,1267.34,1520.9,1267.34,287.27,11654.73
2006-07-11,11134.77125,2128.86,1272.52,1533.06,1272.52,288.46,11792.98
2006-07-12,11013.1843,2090.24,1258.6,1501.46,1258.6,285.21,11771.07
2006-07-13,10846.2924,2054.11,1242.29,1478.16,1242.29,281.33,11601.94
2006-07-14,10739.35352,2037.35,1236.2,1462.17,1236.2,279.85,11630.01
2006-07-17,10747.35793,2037.72,1234.49,1468.5,1234.49,279.25,11480.62
2006-07-18,10799.22649,2043.22,1236.86,1472.34,1236.86,279.78,11471.69
2006-07-20,10928.09745,2039.42,1249.13,1466.89,1249.13,282.25,11465.5
2006-07-24,11051.04515,2061.84,1260.91,1482.34,1260.91,284.85,11625.16
2006-07-25,11103.71415,2073.9,1268.88,1489.52,1268.88,286.83,11754.6
2006-07-26,11102.51349,2070.46,1268.4,1487.88,1268.4,286.65,11879.55
2006-07-27,11100.43234,2054.47,1263.2,1478.53,1263.2,285.24,11758.91
2006-07-28,11219.69801,2094.14,1278.55,1510.3,1278.55,288.88,11823.68
2006-07-31,11185.67928,2091.47,1276.66,1509.43,1276.66,288.59,11830.96
2006-08-01,11125.72627,2061.99,1270.92,1484.94,1270.92,287.11,11907.65
2006-08-03,11242.59062,2092.34,1280.27,1510.6,1280.27,289.5,11936.66
2006-08-04,11240.34939,2085.05,1279.36,1503.84,1279.36,289.17,11936.68
2006-08-08,11173.59263,2060.85,1271.48,1484.8,1271.48,287.07,11998.18
2006-08-09,11076.17899,2060.28,1265.95,1485.64,1265.95,285.7,12008.15
2006-08-11,11088.02551,2057.71,1266.74,1486.74,1266.74,285.77,11944.9
2006-08-15,11230.26383,2115.01,1285.58,1534.43,1285.58,290.22,11977.15
2006-08-16,11327.11716,2149.54,1295.43,1570.06,1295.43,292.67,12030.25
2006-08-18,11381.46709,2163.95,1302.3,1576.46,1302.3,294.12,12044.83
2006-08-22,11339.84417,2150.02,1298.82,1563.43,1298.82,293.17,12201.15
2006-08-23,11297.90108,2134.66,1292.99,1550.41,1292.99,291.62,12195.08
2006-08-24,11304.46469,2137.11,1296.06,1555.19,1296.06,292.15,12132.3
2006-08-25,11284.05345,2140.29,1295.09,1557.7,1295.09,291.95,12119.83
2006-08-28,11352.01087,2160.7,1301.78,1570.29,1301.78,293.57,12167.35
2006-08-29,11369.94074,2172.3,1304.28,1573.65,1304.28,294.3,12060.48
2006-08-30,11382.90788,2185.73,1304.27,1581.95,1304.27,294.39,12068.36
2006-08-31,11381.14691,2183.75,1303.82,1579.73,1303.82,294.41,12073.75
2006-09-01,11464.15262,2193.16,1311.01,1589.47,1311.01,295.98,12145.1
2006-09-05,11469.27544,2205.7,1313.25,1603.69,1313.25,296.62,12198.63
2006-09-06,11406.20071,2167.84,1300.26,1572.2,1300.26,293.39,11999.74
2006-09-07,11331.43954,2155.29,1294.02,1564.84,1294.02,291.94,11895.04
2006-09-08,11392.11295,2165.79,1298.92,1574.71,1298.92,292.95,11869.59
2006-09-11,11396.83555,2173.25,1299.54,1583.78,1299.54,293.02,11656.57
2006-09-12,11498.09131,2215.82,1313.11,1615.75,1313.11,296.36,11678.91
2006-09-13,11543.31621,2227.67,1318.07,1623.99,1318.07,297.66,11777.2
2006-09-14,11527.38744,2228.73,1316.28,1625.98,1316.28,297.08,11648.74
2006-09-15,11560.76582,2235.59,1319.87,1632.44,1319.87,297.81,11656.04
2006-09-18,11555.00265,2235.75,1321.18,1632.17,1321.18,298.07,11763.55
2006-09-19,11540.91489,2222.37,1318.31,1621.07,1318.31,297.37,11701.71
2006-09-20,11613.19469,2252.89,1325.18,1645.35,1325.18,298.99,11635.39
2006-09-21,11533.23066,2237.75,1318.03,1634.87,1318.03,297.31,11627.74
2006-09-25,11575.81411,2249.07,1326.37,1650.37,1326.37,299.02,11582.72
2006-09-26,11669.38563,2261.34,1336.34,1659.2,1336.34,301.26,11642.4
2006-09-27,11689.23656,2263.39,1336.59,1655.67,1336.59,301.41,11751.58
2006-09-28,11718.45265,2270.02,1339.15,1661.59,1339.15,301.92,11817.44
2006-09-29,11679.07096,2258.43,1335.85,1654.13,1335.85,301.0,11761.27
2006-10-02,11670.34616,2237.6,1331.32,1632.81,1331.32,299.85,11787.39
2006-10-03,11727.33754,2243.65,1334.11,1640.29,1334.11,300.34,11526.13
2006-10-04,11850.60542,2290.95,1350.22,1681.14,1350.22,304.14,11618.12
2006-10-05,11866.69428,2306.34,1353.22,1689.43,1353.22,305.15,11750.0
2006-10-06,11850.2052,2299.99,1349.58,1684.88,1349.58,304.22,11690.89
2006-10-10,11867.17454,2315.43,1353.42,1693.29,1353.42,305.31,11755.15
2006-10-11,11852.12625,2308.27,1349.95,1691.28,1349.95,304.52,11619.14
2006-10-12,11947.69888,2346.18,1362.83,1718.54,1362.83,307.67,11719.09
2006-10-13,11960.50593,2357.29,1365.62,1727.21,1365.62,308.41,11908.57
2006-10-16,11980.597,2363.84,1369.05,1727.61,1369.05,309.41,12061.54
2006-10-18,11992.68365,2337.15,1365.96,1700.75,1365.96,308.4,11966.0
2006-10-19,12011.73414,2340.94,1366.96,1706.37,1366.96,308.76,12060.62
2006-10-20,12002.36898,2342.3,1368.6,1709.58,1368.6,308.83,12035.57
2006-10-23,12116.91206,2355.56,1377.02,1725.93,1377.02,310.66,12119.15
2006-10-24,12127.87809,2344.84,1377.38,1713.88,1377.38,310.72,12195.54
2006-10-25,12134.68184,2356.59,1382.22,1726.76,1382.22,311.97,12341.65
2006-10-26,12163.6578,2379.1,1389.08,1744.07,1389.08,313.66,12335.68
2006-10-27,12090.25738,2350.62,1377.34,1717.61,1377.34,310.88,12268.86
2006-10-30,12086.49531,2363.77,1377.93,1727.8,1377.93,311.09,12274.4
2006-10-31,12080.73213,2366.71,1377.94,1732.54,1377.94,310.91,12344.59
2006-11-02,12018.53789,2334.02,1367.34,1710.17,1367.34,308.26,12130.73
2006-11-03,11986.03999,2330.79,1364.3,1703.98,1364.3,307.73,12239.04
2006-11-06,12105.5458,2365.95,1379.78,1732.26,1379.78,311.24,12333.28
2006-11-07,12156.77401,2375.88,1382.84,1741.53,1382.84,311.94,12310.21
2006-11-08,12176.54489,2384.94,1385.72,1749.75,1385.72,312.74,12378.2
2006-11-09,12103.30456,2376.01,1378.33,1740.14,1378.33,311.02,12410.23
2006-11-10,12108.42738,2389.72,1380.9,1751.11,1380.9,311.78,12340.47
2006-11-13,12131.8803,2406.38,1384.42,1768.0,1384.42,312.57,12309.4
2006-11-14,12218.00772,2430.66,1393.22,1787.23,1393.22,314.77,12279.59
2006-11-15,12251.70628,2442.75,1396.57,1793.82,1396.57,315.69,12425.37
2006-11-17,12342.55631,2445.86,1401.2,1800.67,1401.2,316.5,12372.87
2006-11-20,12316.53991,2452.72,1400.5,1803.81,1400.5,316.43,12416.63
2006-11-21,12321.58698,2454.84,1402.81,1808.88,1402.81,316.99,12602.3
2006-11-24,12280.16894,2460.26,1400.95,1815.53,1400.95,316.72,12631.08
2006-11-27,12121.70688,2405.92,1381.9,1775.17,1381.9,312.13,12542.45
2006-11-28,12136.44753,2412.61,1386.72,1780.34,1386.72,313.19,12530.87
2006-11-29,12226.73406,2432.23,1399.48,1792.77,1399.48,316.19,12668.16
2006-11-30,12221.92732,2431.77,1400.63,1791.25,1400.63,316.52,12752.38
2006-12-01,12194.12836,2413.21,1396.71,1775.12,1396.71,315.68,12754.75
2006-12-04,12283.8541,2448.39,1409.12,1799.93,1409.12,318.63,12848.67
2006-12-07,12278.40647,2427.69,1407.29,1777.46,1407.29,318.17,12915.72
2006-12-08,12307.48722,2437.36,1409.84,1786.21,1409.84,318.67,12899.58
2006-12-11,12328.47663,2442.86,1413.04,1791.74,1413.04,319.27,12878.18
2006-12-12,12315.57856,2431.6,1411.56,1781.97,1411.56,318.78,12858.48
2006-12-13,12317.50125,2432.41,1413.21,1783.44,1413.21,319.14,12910.32
2006-12-14,12416.76035,2453.85,1425.49,1803.41,1425.49,321.86,13021.77
2006-12-15,12445.52065,2457.2,1427.09,1808.56,1427.09,322.07,12866.27
2006-12-18,12441.2747,2435.57,1422.48,1790.99,1422.48,320.74,12785.2
2006-12-19,12471.3168,2429.55,1425.55,1785.12,1425.55,321.39,12781.54
2006-12-20,12463.86636,2427.61,1423.53,1777.92,1423.53,321.05,12782.99
2006-12-21,12421.24664,2415.85,1418.3,1766.28,1418.3,319.85,12737.21
2006-12-22,12343.21729,2401.18,1410.76,1748.61,1410.76,318.2,12718.17
2006-12-27,12510.57181,2431.22,1426.84,1763.41,1426.84,322.01,12852.59
2006-12-28,12501.51913,2425.57,1424.73,1758.94,1424.73,321.45,12909.54
2007-01-03,12474.5213,2423.16,1416.6,1759.37,1416.6,319.59,12701.44
2007-01-04,12480.68994,2453.43,1418.34,1792.91,1418.34,320.01,12553.6
2007-01-05,12398.01408,2434.25,1409.71,1785.3,1409.71,317.83,12477.97
