Date,Instrument,Price1
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-06,.VVIX,71.73
2006-03-15,.VVIX,15.71
2006-03-16,.VVIX,27.94
2006-03-17,.VVIX,28.6
2006-03-20,.VVIX,37.93
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-03-21,.VVIX,37.35
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-11,.VVIX,69.55
2006-04-24,.VVIX,63.42
2006-04-25,.VVIX,61.33
2006-04-25,.VVIX,61.33
2006-04-25,.VVIX,61.33
2006-04-25,.VVIX,61.33
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-01,.VVIX,61.96
2006-05-22,.VVIX,91.76
2006-05-23,.VVIX,88.66
2006-05-24,.VVIX,88.63
2006-05-25,.VVIX,82.64
2006-05-26,.VVIX,72.5
2006-05-26,.VVIX,72.5
2006-05-30,.VVIX,82.14
2006-05-31,.VVIX,77.44
2006-06-01,.VVIX,74.08
2006-06-02,.VVIX,70.27
2006-06-05,.VVIX,77.38
2006-06-06,.VVIX,78.66
2006-06-07,.VVIX,73.86
2006-06-08,.VVIX,78.12
2006-06-09,.VVIX,79.87
2006-06-12,.VVIX,83.52
2006-06-13,.VVIX,93.2
2006-06-14,.VVIX,102.11
2006-06-15,.VVIX,99.13
2006-06-16,.VVIX,106.93
2006-06-19,.VVIX,102.56
2006-06-20,.VVIX,94.76
2006-06-21,.VVIX,92.4
2006-06-22,.VVIX,91.85
2006-06-23,.VVIX,86.81
2006-06-26,.VVIX,90.71
2006-06-27,.VVIX,95.12
2006-06-28,.VVIX,96.44
2006-06-29,.VVIX,96.63
2006-06-30,.VVIX,92.1
2006-07-03,.VVIX,89.13
2006-07-03,.VVIX,89.13
2006-07-05,.VVIX,91.98
2006-07-06,.VVIX,92.88
2006-07-07,.VVIX,91.46
2006-07-10,.VVIX,93.52
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-11,.VVIX,91.99
2006-07-24,.VVIX,99.61
2006-07-25,.VVIX,94.97
2006-07-26,.VVIX,89.23
2006-07-27,.VVIX,95.29
2006-07-28,.VVIX,93.16
2006-07-31,.VVIX,92.79
2006-08-01,.VVIX,92.67
2006-08-02,.VVIX,91.34
2006-08-03,.VVIX,89.24
2006-08-04,.VVIX,90.68
2006-08-07,.VVIX,89.58
2006-08-08,.VVIX,88.09
2006-08-08,.VVIX,88.09
2006-08-08,.VVIX,88.09
2006-08-08,.VVIX,88.09
2006-08-08,.VVIX,88.09
2006-08-08,.VVIX,88.09
2006-08-16,.VVIX,57.01
2006-08-16,.VVIX,57.01
2006-08-16,.VVIX,57.01
2006-08-21,.VVIX,80.68
2006-08-22,.VVIX,78.75
2006-08-23,.VVIX,81.15
2006-08-24,.VVIX,79.7
2006-08-25,.VVIX,81.94
2006-08-28,.VVIX,79.47
2006-08-29,.VVIX,81.8
2006-08-30,.VVIX,80.77
2006-08-31,.VVIX,79.84
2006-09-01,.VVIX,77.19
2006-09-01,.VVIX,77.19
2006-09-05,.VVIX,80.18
2006-09-06,.VVIX,82.96
2006-09-07,.VVIX,86.18
2006-09-08,.VVIX,83.7
2006-09-11,.VVIX,85.78
2006-09-12,.VVIX,80.99
2006-09-13,.VVIX,81.55
2006-09-14,.VVIX,81.93
2006-09-15,.VVIX,59.52
2006-09-18,.VVIX,80.97
2006-09-19,.VVIX,81.77
2006-09-20,.VVIX,80.83
2006-09-21,.VVIX,85.95
2006-09-22,.VVIX,85.74
2006-09-25,.VVIX,82.01
2006-09-26,.VVIX,81.59
2006-09-27,.VVIX,81.08
2006-09-28,.VVIX,84.74
2006-09-29,.VVIX,84.31
2006-10-02,.VVIX,85.46
2006-10-03,.VVIX,86.57
2006-10-04,.VVIX,82.5
2006-10-05,.VVIX,87.5
2006-10-06,.VVIX,85.63
2006-10-09,.VVIX,84.76
2006-10-10,.VVIX,83.62
2006-10-11,.VVIX,88.4
2006-10-12,.VVIX,86.87
2006-10-13,.VVIX,86.61
2006-10-16,.VVIX,82.29
2006-10-17,.VVIX,66.99
2006-10-18,.VVIX,79.1
2006-10-19,.VVIX,77.71
2006-10-20,.VVIX,78.6
2006-10-23,.VVIX,84.73
2006-10-24,.VVIX,87.39
2006-10-25,.VVIX,85.9
2006-10-26,.VVIX,81.6
2006-10-27,.VVIX,82.71
2006-10-30,.VVIX,80.16
2006-10-31,.VVIX,76.4
2006-11-01,.VVIX,78.89
2006-11-02,.VVIX,77.08
2006-11-03,.VVIX,75.19
2006-11-06,.VVIX,70.46
2006-11-07,.VVIX,67.5
2006-11-08,.VVIX,62.08
2006-11-09,.VVIX,60.42
2006-11-10,.VVIX,61.06
2006-11-13,.VVIX,36.14
2006-11-14,.VVIX,60.77
2006-11-15,.VVIX,58.58
2006-11-16,.VVIX,62.48
2006-11-17,.VVIX,64.3
2006-11-20,.VVIX,65.98
2006-11-21,.VVIX,65.3
2006-11-22,.VVIX,63.62
2006-11-22,.VVIX,63.62
2006-11-24,.VVIX,66.48
2006-11-27,.VVIX,71.6
2006-11-28,.VVIX,66.56
2006-11-29,.VVIX,60.3
2006-11-30,.VVIX,61.39
2006-12-01,.VVIX,62.33
2006-12-04,.VVIX,62.11
2006-12-05,.VVIX,65.87
2006-12-06,.VVIX,66.49
2006-12-07,.VVIX,68.65
2006-12-08,.VVIX,71.34
2006-12-11,.VVIX,72.84
2006-12-12,.VVIX,74.78
2006-12-13,.VVIX,79.06
2006-12-14,.VVIX,82.57
2006-12-15,.VVIX,84.63
2006-12-18,.VVIX,84.26
2006-12-19,.VVIX,78.91
2006-12-20,.VVIX,84.68
2006-12-21,.VVIX,83.94
2006-12-22,.VVIX,83.41
2006-12-22,.VVIX,83.41
2006-12-26,.VVIX,85.28
2006-12-27,.VVIX,83.01
2006-12-28,.VVIX,88.72
2006-12-29,.VVIX,88.16
2006-12-29,.VVIX,88.16
2006-12-29,.VVIX,88.16
2007-01-03,.VVIX,87.63
2007-01-04,.VVIX,88.19
2007-01-05,.VVIX,90.17
2007-01-08,.VVIX,92.04
