,Instrument,Price High,Price Low,Price Open,Price Close,Volume
2,NVDA.O,3.462,3.25125,3.266,3.4055,508753599
3,NVDA.O,3.379,3.19233,3.34475,3.19975,705551439
4,NVDA.O,3.44325,3.2425,3.2735,3.40475,585619319
5,NVDA.O,3.62225,3.41075,3.4625,3.585,709159199
6,NVDA.O,3.6695,3.4225,3.66725,3.49575,786017159
7,NVDA.O,3.61225,3.4965,3.5475,3.5645,617258999
8,NVDA.O,3.6395,3.484,3.545,3.63075,523156239
9,NVDA.O,3.74375,3.58025,3.60825,3.72075,874762639
10,NVDA.O,3.7865,3.64425,3.668,3.761,730169959
11,NVDA.O,3.83375,3.72825,3.794,3.74675,617010039
12,NVDA.O,3.8075,3.715375,3.77425,3.721,470103679
13,NVDA.O,3.83325,3.66025,3.68775,3.793,493436199
14,NVDA.O,3.9495,3.79125,3.84325,3.92325,651336919
15,NVDA.O,3.9045,3.6887675,3.89275,3.71925,661551039
16,NVDA.O,3.8645,3.70075,3.775,3.73225,591021799
17,NVDA.O,3.96375,3.81275,3.8175,3.946,708970439
18,NVDA.O,4.022,3.7825,3.886,4.00375,1155221879
19,NVDA.O,3.541,3.275,3.41375,3.45025,2511526759
20,NVDA.O,3.4525,3.27525,3.40375,3.29,1153933879
21,NVDA.O,3.44925,3.2865,3.36675,3.43475,974229559
22,NVDA.O,3.62975,3.40958,3.4315,3.59375,842853519
23,NVDA.O,3.66975,3.5645,3.6125,3.61825,625046999
24,NVDA.O,3.767,3.612,3.63425,3.7295,528600719
25,NVDA.O,3.78575,3.7075,3.7415,3.74875,542424999
26,NVDA.O,3.89,3.77675,3.78225,3.825,702465879
27,NVDA.O,3.7805,3.64225,3.7782,3.6855,637119999
28,NVDA.O,3.715,3.60325,3.61775,3.70425,461605479
29,NVDA.O,3.7145,3.6125,3.65975,3.66125,495180599
30,NVDA.O,3.795,3.6855,3.7,3.77925,591060519
31,NVDA.O,3.89575,3.79525,3.809,3.822,605372079
32,NVDA.O,3.891625,3.7775,3.821,3.86325,827262959
33,NVDA.O,4.09675,3.9105,4.07375,3.9335,1516749359
34,NVDA.O,3.99725,3.9035,3.92275,3.916,551892639
35,NVDA.O,4.0315,3.93425,3.9455,3.96375,540989479
36,NVDA.O,4.00125,3.8795,3.9765,3.89425,448546719
37,NVDA.O,3.99875,3.93275,3.9465,3.97975,401741239
38,NVDA.O,4.132,3.9585,4.064,3.96725,656019239
39,NVDA.O,4.019,3.89375,3.9625,3.9275,488462839
40,NVDA.O,3.93975,3.82775,3.913,3.88525,500255239
41,NVDA.O,3.8975,3.834,3.875,3.8565,324942599
42,NVDA.O,3.9537225,3.848,3.90675,3.91125,357187119
43,NVDA.O,3.973,3.8625,3.95,3.9195,409989999
44,NVDA.O,3.9514275,3.849,3.90375,3.913,362924759
45,NVDA.O,3.9125,3.7985,3.904,3.80125,403525959
46,NVDA.O,3.78725,3.6850025,3.7775,3.7315,450105319
47,NVDA.O,3.77675,3.62,3.6415,3.766,422414839
48,NVDA.O,4.0515,3.74225,3.78975,4.0285,859725999
49,NVDA.O,4.10975,3.97975,4.0565,4.063,579574719
50,NVDA.O,4.245,4.09325,4.10075,4.2155,768900719
51,NVDA.O,4.23675,4.13125,4.22475,4.139,519385199
52,NVDA.O,4.28825,4.179,4.1825,4.24525,661459279
53,NVDA.O,4.33125,4.1964425,4.277,4.22375,486993159
54,NVDA.O,4.4375,4.302,4.319,4.39275,854972399
55,NVDA.O,4.47575,4.325,4.422,4.36,719148599
56,NVDA.O,4.625,4.37825,4.38325,4.5985,824310679
57,NVDA.O,4.6199925,4.4235,4.571,4.4375,747643479
58,NVDA.O,4.46125,4.27775,4.3965,4.3445,525212039
59,NVDA.O,4.54375,4.3649225,4.487225,4.42175,703507119
60,NVDA.O,4.49425,4.3425,4.4475,4.4125,474371759
61,NVDA.O,4.4975,4.37775,4.43875,4.43125,480264079
62,NVDA.O,4.5135,4.44775,4.4985,4.489,456895159
63,NVDA.O,4.5875,4.5093625,4.5815,4.557,483824479
64,NVDA.O,4.6197175,4.538,4.58125,4.575,440919839
65,NVDA.O,4.775,4.62,4.625,4.7155,788778719
66,NVDA.O,4.74925,4.64325,4.7,4.7065,457376759
67,NVDA.O,4.79125,4.71325,4.75,4.77375,481745959
68,NVDA.O,4.82,4.71875,4.743,4.79475,424193919
69,NVDA.O,4.77225,4.689,4.761,4.7315,439972799
70,NVDA.O,4.8285,4.72625,4.73075,4.8025,444772279
71,NVDA.O,4.83675,4.73875,4.805,4.7885,374601479
72,NVDA.O,4.8315,4.7415,4.8275,4.75025,471706559
73,NVDA.O,4.7475,4.5775,4.7425,4.6175,440093799
74,NVDA.O,4.72425,4.6241025,4.657,4.70525,394963639
75,NVDA.O,4.7615,4.65975,4.7405,4.68225,351002719
76,NVDA.O,4.72325,4.6295,4.689,4.6575,380988159
77,NVDA.O,4.7275,4.602,4.63375,4.71175,279935519
78,NVDA.O,4.79825,4.71525,4.725,4.76675,346855239
79,NVDA.O,4.82025,4.716,4.77725,4.77925,318204799
80,NVDA.O,4.76125,4.5925,4.73875,4.67275,499297479
81,NVDA.O,4.52219,4.3325,4.51775,4.45225,868989159
82,NVDA.O,4.51125,4.3875,4.46025,4.48325,391919319
83,NVDA.O,4.55075,4.4315,4.45075,4.525,362921599
84,NVDA.O,4.62025,4.5115,4.57775,4.51175,354281239
85,NVDA.O,4.62175,4.477875,4.5215,4.57975,394685399
86,NVDA.O,4.59825,4.51325,4.58825,4.57525,336823479
87,NVDA.O,4.5085,4.35,4.3875,4.49625,422177799
88,NVDA.O,4.4475,4.27925,4.4475,4.32775,555218319
89,NVDA.O,4.42875,4.288,4.3,4.348,419166159
90,NVDA.O,4.28825,4.135,4.2785,4.25475,660246559
91,NVDA.O,4.28975,4.1,4.22375,4.2205,569498039
92,NVDA.O,4.11075,3.94525,4.0875,3.96125,656912759
93,NVDA.O,4.0865,3.96226,4.00125,4.051,524878879
94,NVDA.O,4.02625,3.93525,3.995,3.9895,502320039
95,NVDA.O,4.047625,3.94125,3.984,4.00475,781088159
96,NVDA.O,4.09275,3.8735,3.9625,3.91325,1022067919
97,NVDA.O,3.86925,3.76875,3.81375,3.79375,572065359
98,NVDA.O,3.8925,3.816,3.855,3.8765,361849879
99,NVDA.O,3.86375,3.794,3.8375,3.805,325869599
100,NVDA.O,3.74225,3.62278,3.74225,3.683,591844359
101,NVDA.O,3.7375,3.622,3.702,3.62875,357585279
102,NVDA.O,3.6795,3.58125,3.6465,3.58325,428354079
103,NVDA.O,3.5705,3.4735,3.53525,3.5085,559801479
104,NVDA.O,3.5437475,3.43925,3.50775,3.47775,394299599
105,NVDA.O,3.4612275,3.38475,3.4285,3.3865,389719679
106,NVDA.O,3.43675,3.315,3.39775,3.3445,478643199
107,NVDA.O,3.58025,3.3866875,3.409,3.575,641835399
108,NVDA.O,3.65475,3.4955,3.64925,3.532,511615399
109,NVDA.O,3.61925,3.53375,3.53625,3.5945,408138479
110,NVDA.O,3.672,3.58125,3.6005,3.6375,348857519
111,NVDA.O,3.77975,3.694,3.694,3.71075,402780879
112,NVDA.O,3.809,3.729,3.771,3.76875,383870039
113,NVDA.O,3.73125,3.63975,3.725,3.655,358891919
114,NVDA.O,3.725,3.6595,3.67725,3.7065,308081079
115,NVDA.O,3.63725,3.5709,3.61275,3.616,394426239
116,NVDA.O,3.663015,3.59125,3.61425,3.62575,276041479
117,NVDA.O,3.87775,3.6765,3.6875,3.822,581917999
118,NVDA.O,3.86892,3.801845,3.8575,3.828,331643959
119,NVDA.O,3.93325,3.837945,3.91925,3.8525,350167279
120,NVDA.O,3.887,3.7875,3.8375,3.794,434426879
121,NVDA.O,3.84625,3.768,3.8155,3.8165,282948719
122,NVDA.O,3.897,3.78425,3.8215,3.787,311866439
123,NVDA.O,4.043,3.90225,3.91525,3.9815,584072999
124,NVDA.O,4.1,4.0315,4.06775,4.08075,445441519
125,NVDA.O,4.13425,4.05875,4.125,4.10575,397666359
126,NVDA.O,4.34875,4.1165,4.31425,4.15425,711533079
127,NVDA.O,4.1587325,4.0425,4.1375,4.05575,400227519
128,NVDA.O,4.085,4.0085375,4.07925,4.06875,246634239
129,NVDA.O,4.0145,3.942,4.01,4.00575,396553879
130,NVDA.O,3.96475,3.9,3.94575,3.93025,329786759
131,NVDA.O,3.961,3.875,3.88775,3.93275,342860479
132,NVDA.O,4.0592225,3.9625,3.9765,4.0015,452075959
133,NVDA.O,4.198,4.0375,4.075,4.157,682558559
134,NVDA.O,4.26175,4.185,4.185,4.19025,506392639
135,NVDA.O,4.227645,4.15325,4.2115,4.18175,289839719
136,NVDA.O,4.20425,4.1210625,4.16675,4.177,341443919
137,NVDA.O,4.24975,4.14935,4.17875,4.24275,348204279
138,NVDA.O,4.31775,4.19625,4.253125,4.2545,443178959
139,NVDA.O,4.2995,4.205,4.293,4.211,344895799
140,NVDA.O,4.296,4.225,4.2325,4.283,315939919
141,NVDA.O,4.3935,4.30675,4.3225,4.3915,428176559
142,NVDA.O,4.47225,4.3585,4.435,4.4665,366237479
143,NVDA.O,4.4375,4.311,4.42475,4.3345,392698119
144,NVDA.O,4.42375,4.36175,4.36175,4.37675,274159879
145,NVDA.O,4.3867425,4.28175,4.3695,4.3705,248161959
146,NVDA.O,4.3985,4.30925,4.32375,4.38625,197770439
147,NVDA.O,4.355375,4.1755,4.3545,4.218,359415639
148,NVDA.O,4.3195,4.07051,4.2285,4.123,421212559
149,NVDA.O,4.0995,3.982,4.02975,4.02975,428349279
150,NVDA.O,3.84625,3.7225,3.845,3.76975,589157439
151,NVDA.O,3.89075,3.76075,3.845,3.80875,361270679
152,NVDA.O,3.85925,3.73,3.7475,3.84725,372561799
153,NVDA.O,3.95775,3.8475,3.90525,3.9565,309298879
154,NVDA.O,3.91875,3.80375,3.91525,3.8545,341816719
155,NVDA.O,3.8545,3.76425,3.802,3.78625,279200479
156,NVDA.O,3.9475,3.7455025,3.78475,3.90125,360512439
157,NVDA.O,3.82375,3.7077775,3.8125875,3.75175,419881319
158,NVDA.O,3.79075,3.68485,3.77075,3.71925,554462039
159,NVDA.O,4.0385,3.922,3.98375,3.989,1015385119
160,NVDA.O,4.2855,4.08675,4.103,4.2695,816322439
161,NVDA.O,4.2645,4.1755,4.264,4.19675,463521599
162,NVDA.O,4.33625,4.2415,4.26325,4.28075,427910919
163,NVDA.O,4.33325,4.2476125,4.2905,4.287,303756719
164,NVDA.O,4.26475,4.041,4.21,4.061,569497319
165,NVDA.O,4.1645,4.09775,4.14025,4.13625,318594159
166,NVDA.O,4.1775,4.0155,4.17475,4.045,291549559
167,NVDA.O,4.0835,3.975,4.0145,4.0305,255828119
168,NVDA.O,4.2075,4.119,4.1225,4.175,358373039
169,NVDA.O,4.2715,4.1695,4.2215,4.18775,290908479
170,NVDA.O,4.14775,4.0813,4.1145,4.10425,296510799
171,NVDA.O,4.2265,4.16525,4.16525,4.219,228120359
172,NVDA.O,4.49975,4.32,4.321625,4.4935,696484999
173,NVDA.O,4.52725,4.428,4.47,4.46625,376976759
174,NVDA.O,4.5995,4.496,4.4975,4.5125,417525319
175,NVDA.O,4.60625,4.46975,4.4795,4.5795,352812199
176,NVDA.O,4.65675,4.565015,4.59425,4.60825,361511279
177,NVDA.O,4.71,4.59875,4.655,4.60675,327840999
178,NVDA.O,4.577,4.5045,4.53975,4.5485,324591479
179,NVDA.O,4.54,4.4625,4.473,4.50525,231831839
180,NVDA.O,4.53089,4.46525,4.512,4.52675,228473119
181,NVDA.O,4.5355,4.4125,4.51975,4.4995,264037679
182,NVDA.O,4.524,4.4127525,4.5055,4.4235,256342759
183,NVDA.O,4.44625,4.307,4.4225,4.31725,357251799
184,NVDA.O,4.41675,4.31375,4.3175,4.371,255825879
185,NVDA.O,4.43225,4.2775,4.4025,4.31325,321241799
186,NVDA.O,4.4755,4.26775,4.31275,4.45575,313106879
187,NVDA.O,4.45475,4.38225,4.446,4.4335,237825919
188,NVDA.O,4.4425,4.233,4.3915,4.294,365958959
189,NVDA.O,4.362,4.2885025,4.32,4.35175,193199079
190,NVDA.O,4.525,4.34525,4.375,4.35,367565999
191,NVDA.O,4.34,4.25325,4.328,4.326,295661759
192,NVDA.O,4.539,4.3,4.3305,4.53275,462730599
193,NVDA.O,4.57875,4.4695,4.535,4.54925,267960199
194,NVDA.O,4.7085,4.60575,4.6145,4.60825,488313559
195,NVDA.O,4.516,4.4125,4.516,4.43075,449342639
196,NVDA.O,4.5675,4.4790025,4.508,4.51775,307883279
197,NVDA.O,4.627,4.51025,4.5155,4.57575,327515559
198,NVDA.O,4.7335,4.64125,4.66025,4.64975,450866719
199,NVDA.O,4.68425,4.609625,4.641,4.66325,210335759
200,NVDA.O,4.98225,4.74,4.754,4.90925,667985319
201,NVDA.O,4.9805,4.84375,4.875,4.85525,432753119
202,NVDA.O,4.9453575,4.8025,4.9,4.85725,264316959
203,NVDA.O,4.8905,4.6875,4.85775,4.76225,307624199
204,NVDA.O,4.91375,4.805,4.824,4.90025,266967239
205,NVDA.O,5.06325,4.8825,4.9575,4.89025,337369119
206,NVDA.O,4.8915,4.77575,4.80775,4.87725,285769999
207,NVDA.O,4.95525,4.8845,4.91875,4.9215,239037319
208,NVDA.O,5.13451,4.99475,5.0025,5.1135,423091519
209,NVDA.O,5.2225,5.12792,5.1575,5.16975,330791639
210,NVDA.O,5.16225,5.0535,5.15575,5.073,211236799
211,NVDA.O,5.10575,5.0065,5.1,5.075,205961519
212,NVDA.O,5.075,4.94525,5.054,5.0255,209732599
213,NVDA.O,5.09725,4.9648125,4.99,5.06475,283638239
214,NVDA.O,5.275,5.1230075,5.14625,5.2625,376716199
215,NVDA.O,5.2885,5.192,5.26225,5.24025,300868479
216,NVDA.O,5.24175,5.10275,5.216,5.19075,269013399
217,NVDA.O,5.2925,5.1635,5.27765,5.2085,280339919
218,NVDA.O,5.22625,5.15375,5.1915,5.1945,189407479
219,NVDA.O,5.22775,5.1070025,5.19375,5.2045,243789439
220,NVDA.O,5.2965,5.20775,5.243,5.24025,283838839
221,NVDA.O,5.2365,5.1475,5.20875,5.21425,302364959
222,NVDA.O,5.247,5.1629,5.22325,5.24475,527006839
223,NVDA.O,5.2944975,5.0159425,5.2425,5.10475,1054216359
224,NVDA.O,5.33375,5.09425,5.09725,5.307,575318519
225,NVDA.O,5.2995,5.14125,5.2758,5.19975,415380239
226,NVDA.O,5.36375,5.1641075,5.17675,5.2795,473017519
227,NVDA.O,5.331,5.23275,5.275,5.2545,288389199
228,NVDA.O,5.3240825,5.2485,5.27725,5.27225,224098799
229,NVDA.O,5.53525,5.388,5.401,5.53025,507347439
230,NVDA.O,5.5172425,5.4185,5.5125,5.425,385680919
231,NVDA.O,5.50125,5.4295,5.46675,5.456,216428719
232,NVDA.O,5.4535,5.3945,5.425,5.4185,141556959
233,NVDA.O,5.425,5.216,5.4115,5.23125,373869679
